movieskey,trimmed names,moviename,deathcount,deathcomment,release date,budget,domestic gross,worldwide gross
263,The Opposite of Sex,The Opposite of Sex,1,1,#N/A,#N/A,#N/A,
264,High Tension,High Tension,6,"5 and a dog	",6/10/05,2850000,3681066,
265,The Hudsucker Proxy,The Hudsucker Proxy,2,2,3/11/94,40000000,2816518,
266,The Wild,The Wild,1,"1 wildebeest	",4/14/06,80000000,37384046,
267,There Will Be Blood,There Will Be Blood,12,5 and 7 quail,12/26/07,25000000,40222514,
268,Three Kings,Three Kings,22,21 and a cow,10/1/99,48000000,60652036,
269,Wes Craven's New Nightmare,Wes Craven's New Nightmare,5,4 and Freddy again,10/14/94,8000000,17976855,
270,Madhouse,Madhouse,7,7,#N/A,#N/A,#N/A,
271,Renegade,Renegade,30,28 and 2 horses,#N/A,#N/A,#N/A,
272,No Reservations,No Reservations,1,1,7/27/07,28000000,43107979,
273,Bloody Mallory,Bloody Mallory,30,"8, 17 ghouls, a demon, a succubus, a black cat, a rat and a vampire",#N/A,#N/A,#N/A,
274,"Friday the 13th	","Friday the 13th	",11,10 and a snake,#N/A,#N/A,#N/A,
275,Magnolia,Magnolia,30000000,"8, a dog, and a whole LOT of frogs",12/17/99,37000000,22450975,
276,Fright Night (1985),Fright Night (1985),6,"3 humans, 2 vampires, and a guy who was neither human nor vampire",#N/A,#N/A,#N/A,
277,Friday the 13th Part 2,Friday the 13th Part 2,9,9,4/30/81,1250000,21722776,
278,Sleepwalkers,Sleepwalkers,11,"7, 2 sleepwalkers and 2 cats",#N/A,#N/A,#N/A,
279,The Green Mile,The Green Mile,7,7,12/10/99,60000000,136801374,
280,Cinderella,Cinderella,1,1,2/15/50,2900000,201151353,
281,Friday the 13th Part 3,Friday the 13th Part 3,13,12 and an unborn baby,8/13/82,2250000,33985198,
282,The Tommyknockers,The Tommyknockers,12,4 and 8 aliens,#N/A,#N/A,#N/A,
283,28 Weeks Later,28 Weeks Later,10211,"10,211	",5/11/07,15000000,28637507,
284,Q: The Winged Serpent,Q: The Winged Serpent,17,"15 humans and 2 Qs. Jon further broke this down for us as follows: 4 decapitations, 1 skinning, 10 other, mostly dropped from high up. Also, all his predictions came true.	",#N/A,#N/A,#N/A,
285,"Reefer Madness	","Reefer Madness	",3,3,#N/A,#N/A,#N/A,
286,Friday the 13th Part 4: The Final Chapter,Friday the 13th Part 4: The Final Chapter,14,14,#N/A,#N/A,#N/A,
287,"Dirty Dancing	","Dirty Dancing	",1,1 fetus,#N/A,#N/A,#N/A,
288,Bambi,Bambi,3,"1 deer, 2 pheasants",#N/A,#N/A,#N/A,
289,Shaded Places,Shaded Places,2,1 and a dog,#N/A,#N/A,#N/A,
290,The Usual Suspects,The Usual Suspects,42,41 and a dog,8/16/95,6000000,23272306,
291,The Sisterhood of the Traveling Pants,The Sisterhood of the Traveling Pants,1,1,6/1/05,25000000,39008741,
292,Battle Royale,Battle Royale,43,43,#N/A,#N/A,#N/A,
293,Cutting Class,Cutting Class,8,7 and a fly,#N/A,#N/A,#N/A,
294,Friday the 13th Part 5: A New Beginning,Friday the 13th Part 5: A New Beginning,19,19,#N/A,#N/A,#N/A,
295,"Blood Diamond	","Blood Diamond	",93,"92 and a baboon	",#N/A,#N/A,#N/A,
296,Romeo + Juliet,Romeo + Juliet,5,5,#N/A,#N/A,#N/A,
297,A.I. Artificial Intelligence,A.I. Artificial Intelligence,7,"6 Robots and 1 human recreated by robots	",#N/A,#N/A,#N/A,
298,Jaws,Jaws,8,"5, 2 sharks and a dog	",6/20/75,12000000,260000000,
299,The Ice Pirates,The Ice Pirates,20,"10 humans, 1 frog lady and 9 robots",3/16/84,9000000,13075390,
300,300,300,3977,"3,971 people, 1 battle rhinocerous, 3 elephants, 1 giant wolf and a big orc-looking dude	",#N/A,#N/A,#N/A,
301,Forrest Gump,Forrest Gump,17,"13 plus Elvis, JFK, Bobby Kennedy, and John Lennon	",7/6/94,55000000,330151138,
302,Bad Biology,Bad Biology,5,4 plus one large mutant penis,#N/A,#N/A,#N/A,
303,Fried Green Tomatoes,Fried Green Tomatoes,6,5 plus one arm,#N/A,#N/A,#N/A,
304,Who is KK Downey?,Who is KK Downey?,1,1,#N/A,#N/A,#N/A,
305,Thank You for Smoking,Thank You for Smoking,1,1,3/17/06,7500000,24793509,
306,Soo,Soo,26,26,#N/A,#N/A,#N/A,
307,Epitaph,Epitaph,10,10,#N/A,#N/A,#N/A,
308,Dead Fury,Dead Fury,14,"13 and a squirrel	",#N/A,#N/A,#N/A,
309,Pistoleros,Pistoleros,5,4 and a dog,#N/A,#N/A,#N/A,
310,Jack Brooks: Monster Slayer,Jack Brooks: Monster Slayer,17,15 and 2 dogs,10/7/08,2150000,0,
311,"Trailer Park of Terror	","Trailer Park of Terror	",10,10,#N/A,#N/A,#N/A,
312,The Last House in the Woods,The Last House in the Woods,10,10,#N/A,#N/A,#N/A,
313,"Timecrimes	","Timecrimes	",1,1,#N/A,#N/A,#N/A,
314,Death Bed: The Bed That Eats,Death Bed: The Bed That Eats,19,"16, a fly, 2 hands and 1 bed	",#N/A,#N/A,#N/A,
315,Lake Placid,Lake Placid,5,"2, a bear, a cow and a giant crocodile",7/16/99,27000000,31770413,
316,"American Dreamz	","American Dreamz	",2,2,#N/A,#N/A,#N/A,
317,How High,How High,14,1 and 13 pigeons,12/21/01,12000000,31155435,
318,Muppets From Space,Muppets From Space,1,1 cat,7/14/99,24000000,16304786,
319,Rolling Kansas,Rolling Kansas,4,3 ducks that looked like geese and one accidental rabbit smothering,#N/A,#N/A,#N/A,
320,Kung Pow: Enter the Fist,Kung Pow: Enter the Fist,48,"43 people, a dog, 2 moths, a big toe, a stomach plug and one French alien UFO",1/25/02,10000000,16033556,
321,Man of the House,Man of the House,4,4,2/25/05,50000000,19118247,
322,Friday the 13th Part 6: Jason Lives,Friday the 13th Part 6: Jason Lives,18,17 (including a 3-for-one decapitation) and 1 bug,#N/A,#N/A,#N/A,
323,Fido,Fido,13,13,6/15/07,8000000,298110,
324,Enchanted,Enchanted,3,"1 cockroach, 1 bag of bird seed (which was stabbed with a sword), and 1 evil witch queen who was killed while in dragon form.",11/21/07,85000000,127706877,
325,Bridge to Terabithia,Bridge to Terabithia,1,1,2/16/07,25000000,82234139,
326,Shrek the Third,Shrek the Third,4,1 Frog King Dad-in-Law and 3 bugs,5/17/07,160000000,321012359,
327,"The Spongebob Squarepants Movie	","The Spongebob Squarepants Movie	 ",2,2 fish,#N/A,#N/A,#N/A,
328,The Rocky Horror Picture Show,The Rocky Horror Picture Show,4,4,9/26/75,1200000,140241017,
329,The Happening,The Happening,47,47,6/13/08,60000000,64506874,
330,Reefer Madness: The Movie Musical,Reefer Madness: The Movie Musical,6,"5 and a fly	",#N/A,#N/A,#N/A,
331,Duets,Duets,2,"2	",9/15/00,16000000,4734235,
332,Frankenhooker,Frankenhooker,13,12 and a guinea pig,#N/A,#N/A,#N/A,
333,Blood Gnome,Blood Gnome,33,26 plus A-MAN-da and 6 blood gnomes,#N/A,#N/A,#N/A,
334,"Friday the 13th Part 7: The New Blood	","Friday the 13th Part 7: The New Blood	",16,16,#N/A,#N/A,#N/A,
335,Friday the 13th Part 8: Jason Takes Manhattan,Friday the 13th Part 8: Jason Takes Manhattan,22,22,#N/A,#N/A,#N/A,
336,Get Smart,Get Smart,14,13 and a robot fly,6/20/08,80000000,130319208,
337,The Golden Compass,The Golden Compass,55,54 and an ice bear,12/1/07,205000000,70107728,
338,Hancock,Hancock,1,1,7/1/08,150000000,227946274,
339,"Batman Begins	","Batman Begins	",6,6,#N/A,#N/A,#N/A,
340,"Ferngully: The Last Rainforest	","Ferngully: The Last Rainforest	",2,"1 fairy, 1 snail",#N/A,#N/A,#N/A,
341,Friday the 13th Part 9: Jason Goes to Hell,Friday the 13th Part 9: Jason Goes to Hell,22,22,#N/A,#N/A,#N/A,
342,The Boondock Saints,The Boondock Saints,36,35 and a cat,1/21/00,7000000,30471,
343,Edward Scissorhands,Edward Scissorhands,2,2,12/7/90,20000000,53976987,
344,Big Trouble in Little China,Big Trouble in Little China,36,"35 and a thing they called a guardian but which I think looks like a beholder. Not a behemoth, which is what I said the first time. Wrong b word.",7/1/86,25000000,10911690,
345,"Schizopolis	","Schizopolis	",2,2,#N/A,#N/A,#N/A,
346,The Magician,The Magician,1,1,#N/A,#N/A,#N/A,
347,Road Trip,Road Trip,1,1,5/19/00,16000000,68525609,
348,"Sweet Home Alabama	","Sweet Home Alabama	",1,1 mosquito,#N/A,#N/A,#N/A,
349,Undercover Brother,Undercover Brother,8,8,5/31/02,25000000,38230435,
350,Zombie Strippers,Zombie Strippers,44,43 and a fly,#N/A,#N/A,#N/A,
351,Carrie (2002),Carrie (2002),236,235 and a pig,#N/A,#N/A,#N/A,
352,Dark Knight,Dark Knight,26,26,#N/A,#N/A,#N/A,
353,The Family Stone,The Family Stone,1,1,12/16/05,18000000,60062868,
354,Amadeus,Amadeus,3,3,9/19/84,18000000,51564280,
355,Til There Was You,Til There Was You,1,"1	",#N/A,#N/A,#N/A,
356,"S.W.A.T.	","S.W.A.T.	",20,20 and 0 motherfuckers,#N/A,#N/A,#N/A,
357,National Treasure,National Treasure,2,2,11/19/04,100000000,173005002,
358,"Divine Secrets of the Ya-Ya Sisterhood	","Divine Secrets of the Ya-Ya Sisterhood	",1,1,#N/A,#N/A,#N/A,
359,The Last House on the Left,The Last House on the Left,6,6,3/13/09,15000000,32752215,
360,"The	Thing","The	Thing",24,"12 people, 5 dogs and 7 ""things""	",#N/A,#N/A,#N/A,
361,Eating Raoul,Eating Raoul,12,12,#N/A,#N/A,#N/A,
362,Quest for Camelot,Quest for Camelot,2,"2	",5/15/98,40000000,22717758,
363,Dead End,Dead End,6,6,#N/A,#N/A,#N/A,
364,Motel Hell,Motel Hell,6,6,#N/A,#N/A,#N/A,
365,Taxi Driver,Taxi Driver,4,4,2/8/76,1000000,28262574,
366,Airplane!,Airplane!,10,10,7/4/80,3500000,83453539,
367,Deranged,Deranged,5,5,#N/A,#N/A,#N/A,
368,Fallen,Fallen,8,"8	",#N/A,#N/A,#N/A,
369,"Across the Universe	","Across the Universe	",10,"9 and Martin Luther King, Jr.",#N/A,#N/A,#N/A,
370,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,11,11,#N/A,#N/A,#N/A,
371,Earth vs. the Spider,Earth vs. the Spider,13,12 and one mutant man-spider,#N/A,#N/A,#N/A,
372,The Tripper,The Tripper,26,"24 and 2 dogs	",#N/A,#N/A,#N/A,
373,Resident Evil 3: Extinction,Resident Evil 3: Extinction,15576,"576, 3 dogs and an entire flock of demon birds",#N/A,#N/A,#N/A,
374,Suicide Club,Suicide Club,80,78 and 2 small animals,#N/A,#N/A,#N/A,
375,Desperado,Desperado,51,51,8/25/95,7000000,25405445,
376,Trainspotting,Trainspotting,2,1 and a baby,7/19/96,3100000,16501000,
377,Crush,Crush,1,1,#N/A,#N/A,#N/A,
378,Ultraviolet,Ultraviolet,311,310 and an unborn child,3/3/06,30000000,18522064,
379,Billy Madison,Billy Madison,6,6,#N/A,#N/A,#N/A,
380,Asylum,Asylum,7,7,#N/A,#N/A,#N/A,
381,Saw V,Saw V,5,5,10/24/08,10800000,56746769,
382,The Strangers,The Strangers,2,2,5/30/08,9000000,52597610,
383,Forgiving the Franklins,Forgiving the Franklins,4,4,#N/A,#N/A,#N/A,
384,Critters 2: The Main Course,Critters 2: The Main Course,1274,"7 people, 1 bug, 1 dog, 3 cows, 1 space thing, 1261 critters and 1 alien bounty hunter",#N/A,#N/A,#N/A,
385,Critters 3: You are What They Eat,Critters 3: You are What They Eat,8,2 and 6 critters,#N/A,#N/A,#N/A,
386,The Secret Life of Bees,The Secret Life of Bees,3,2 and a cockroach,10/17/08,11000000,37770162,
387,Serenity,Serenity,197,"196 and a bug	",9/30/05,39000000,25335935,
388,Reservoir Dogs,Reservoir Dogs,11,11,#N/A,#N/A,2832029,
389,Army of Darkness,Army of Darkness,77,77,2/19/93,11000000,11502976,
390,The Midnight Meat Train,The Midnight Meat Train,17,17,#N/A,#N/A,#N/A,
391,Noriko's Dinner Table,Noriko's Dinner Table,85,85,#N/A,#N/A,#N/A,
392,28 Days Later,28 Days Later,33,32 and a monkey,#N/A,#N/A,#N/A,
393,Quantum of Solace,Quantum of Solace,24,23 and a fly and 1 bitch banged,11/14/08,230000000,169368427,
394,I Know Who Killed Me,I Know Who Killed Me,2,2,#N/A,#N/A,#N/A,
1239,The Devil Inside,The Devil Inside,1,1,1/6/12,1000000,53261944,
395,The Fugitive,The Fugitive,7,7,8/6/93,44000000,172494360,
396,"I Know What You Did Last Summer	","I Know What You Did Last Summer	",15,6 and 9 crabs,#N/A,#N/A,#N/A,
397,Alice's Restaurant,Alice's Restaurant,2,2,#N/A,#N/A,#N/A,
398,Gattaca,Gattaca,5,2 and 3 zygotes,10/24/97,36000000,12339633,
399,Donnie Brasco,Donnie Brasco,6,6,2/28/97,35000000,41954997,
400,Scarface,Scarface,42,42,12/9/83,25000000,44942821,
401,The Signal,The Signal,53,53,2/22/08,50000,251150,
402,Event Horizon,Event Horizon,3,3,8/15/97,60000000,26668092,
403,Critters 4,Critters 4,26,"7, 6 eggs and 13 critters",#N/A,#N/A,#N/A,
404,High Times' Potluck,High Times' Potluck,2,2,#N/A,#N/A,#N/A,
405,Death to Smoochy,Death to Smoochy,3,3,3/29/02,50000000,8355815,
406,Deuce Bigalow: European Gigolo,Deuce Bigalow: European Gigolo,4,4,8/12/05,22000000,22264487,
407,Defending Your Life,Defending Your Life,1,1,#N/A,#N/A,#N/A,
408,"Deliverance	","Deliverance	",4,3 and a fish,#N/A,#N/A,#N/A,
409,Dangerous Intentions,Dangerous Intentions,1,1,#N/A,#N/A,#N/A,
410,Black Snake Moan,Black Snake Moan,0,no one died but Samuel L. Jackson graced us with 5 motherfuckers and 1 motherfucking,3/2/07,15000000,9396870,
411,Street Kings,Street Kings,12,12,4/11/08,20000000,26415649,
412,Tropic Thunder,Tropic Thunder,4,"1, a bat, a panda and a Tivo",8/13/08,90000000,110461307,
413,"Southland Tales	","Southland Tales	",524,24 and a mega-zeppelin,#N/A,#N/A,#N/A,
414,Up in Smoke,Up in Smoke,2,1 bird and 1 dog,#N/A,#N/A,#N/A,
415,What Ever Happened to Baby Jane?,What Ever Happened to Baby Jane?,3,"1, a bird and a rat",#N/A,#N/A,#N/A,
416,Antitrust,Antitrust,2,2,1/12/01,30000000,10965209,
417,The Blob (1988),The Blob (1988),28,27 and a rat,#N/A,#N/A,#N/A,
418,Batman: The Movie,Batman: The Movie,11,"5, a shark, an octopus and 4 noble porpoises",#N/A,#N/A,#N/A,
419,Eagle Eye,Eagle Eye,61,61,9/26/08,80000000,101440743,
420,Pineapple Express,Pineapple Express,21,"19, a bug and a very large crop of marijuana",#N/A,#N/A,#N/A,
421,Bad Dreams,Bad Dreams,37,37,#N/A,#N/A,#N/A,
422,Burn After Reading,Burn After Reading,2,2,9/12/08,37000000,60355347,
423,My Bloody Valentine (2009),My Bloody Valentine (2009),31,31,#N/A,#N/A,#N/A,
424,Friday the 13th (2009),Friday the 13th (2009),15,15,#N/A,#N/A,#N/A,
425,Dr. No,Dr. No,11,"10 and a huge fucking venomous spider, plus 3 bitches banged",5/8/63,1000000,16067035,
426,From Russia With Love,From Russia With Love,23,"22, 1 siamese fighting fish, and 2 bitches banged",4/8/64,2000000,24800000,
427,Goldfinger,Goldfinger,60,60 and 2 bitches banged,12/22/64,3000000,51100000,
428,Thunderball,Thunderball,45,"44, a shark, and 3 bitches got banged",12/29/65,9000000,63600000,
429,Diary of the Dead,Diary of the Dead,30,30,2/15/08,2750000,952620,
430,Blood Diner,Blood Diner,69,69,#N/A,#N/A,#N/A,
431,The Secret of NIMH,The Secret of NIMH,3,3 rats,#N/A,#N/A,#N/A,
432,Basic,Basic,3,3,3/28/03,50000000,26599248,
433,Repo! The Genetic Opera,Repo! The Genetic Opera,14,14,11/7/08,8500000,140244,
434,Kill Bill: Volume 1,Kill Bill: Volume 1,51,51,10/10/03,55000000,70098138,
435,You Only Live Twice,You Only Live Twice,77,77 and 3 bitches banged,6/13/67,9500000,43100000,
436,Nurse Betty,Nurse Betty,4,4,9/8/00,24000000,25170054,
437,On Her Majesty's Secret Service,On Her Majesty's Secret Service,20,20 and 3 bitches banged,12/18/69,8000000,22800000,
438,"Diamonds are Forever	","Diamonds are Forever	",66,66 and only 1 bitch banged,#N/A,#N/A,#N/A,
439,Live and Let Die,Live and Let Die,8,"6, a snake, a crocodile, and 3 bitches banged",6/27/73,7000000,35400000,
440,Gangs of New York,Gangs of New York,95,94 and a rat,12/20/02,97000000,77730500,
441,"The Warriors	","The Warriors	",2,2,#N/A,#N/A,#N/A,
442,Brotherhood of the Wolf,Brotherhood of the Wolf,68,"42 people, 23 wolves, 2 dogs and a beast",#N/A,#N/A,#N/A,
443,The Zombie Diaries,The Zombie Diaries,28,28,#N/A,#N/A,#N/A,
444,The Man with the Golden Gun,The Man with the Golden Gun,7,7 and 2 bitches banged,12/20/74,7000000,21000000,
445,Memento,Memento,4,4,3/16/01,5000000,25530884,
446,Drag Me to Hell,Drag Me to Hell,5,4 and a kitten,5/29/09,30000000,42100625,
448,Bubble Boy,Bubble Boy,1,1 cow,8/24/01,13000000,5002310,
449,X-Men Origins: Wolverine,X-Men Origins: Wolverine,48,47 and a bear,5/1/09,150000000,179883157,
450,Pride and Glory,Pride and Glory,11,11,10/24/08,30000000,15740721,
451,Transformers: Revenge of the Fallen,Transformers: Revenge of the Fallen,7071,"7,049 people, 14 Decepticons, 5 baby Decepticons, 1 Decepticon hatchling, 1 Autobot that used to be a Decepticon, and 1 goat",6/24/09,210000000,402111870,
452,Jesus Christ Vampire Hunter,Jesus Christ Vampire Hunter,46,46,#N/A,#N/A,#N/A,
453,Spy Who Loved Me,Spy Who Loved Me,111,"44, a fish, a shark and two submarines full of guys in orange jumpsuits. Oh, and two bitches banged",#N/A,#N/A,#N/A,
454,Gran Torino,Gran Torino,1,1,12/12/08,25000000,148095302,
455,Surrender Dorothy,Surrender Dorothy,1,1,#N/A,#N/A,#N/A,
456,"Lock, Stock and Two Smoking Barrels","Lock, Stock and Two Smoking Barrels",15,15,3/5/99,1350000,3714067,
457,Public Enemies,Public Enemies,22,22,7/1/09,102500000,97104620,
458,The Magnificent Seven,The Magnificent Seven,55,55,#N/A,#N/A,#N/A,
459,Candy,Candy,2,1 and a fetus,#N/A,#N/A,#N/A,
460,The City of Lost Children,The City of Lost Children,9,"5 plus a set of siamese twins, a dwarf and a parakeet",#N/A,#N/A,#N/A,
461,Death Note,Death Note,25,25,#N/A,#N/A,#N/A,
462,Milk,Milk,4,4,11/26/08,20000000,31841299,
463,"Good Night, and Good Luck	","Good Night, and Good Luck	",1,1,#N/A,#N/A,#N/A,
464,The Collector,The Collector,11,"7, 1 cat, 2 fish and 1 dog",#N/A,#N/A,#N/A,
465,The Haunting in Connecticut,The Haunting in Connecticut,6,6,#N/A,#N/A,#N/A,
466,Horsemen,Horsemen,5,4 and a fetus,#N/A,#N/A,#N/A,
467,Rising Sun,Rising Sun,5,5,#N/A,#N/A,#N/A,
468,The Taking of Pelham 1 2 3 (2009),The Taking of Pelham 1 2 3 (2009),7,7,#N/A,#N/A,#N/A,
469,The International,The International,16,16,2/13/09,50000000,25450527,
470,"The Twilight Saga: Breaking Dawn, Part 1","The Twilight Saga: Breaking Dawn, Part 1",5,"2, a vampire and 2 deer",11/18/11,127500000,281287133,
471,Inglourious Basterds,Inglourious Basterds,397,397,8/20/09,70000000,120774594,
472,The Final Destination,The Final Destination,61,61,8/28/09,40000000,66477700,
473,Moonraker,Moonraker,121,"108, 12 pheasants, 1 python and 3 bitches banged",6/29/79,31000000,70300000,
474,For Your Eyes Only,For Your Eyes Only,45,"27, 1 British spy ship disguised as a fishing vessel, and one bitch banged",6/26/81,28000000,54800000,
1477,The Bourne Ultimatum,The Bourne Ultimatum,4,4,8/3/07,130000000,227471070,
475,Octopussy,Octopussy,97,"96 and a spider, and 2 bitches banged",6/10/83,27500000,62440579,
476,Ong-Bak: The Thai Warrior,Ong-Bak: The Thai Warrior,8,8,#N/A,#N/A,#N/A,
477,Cool Hand Luke,Cool Hand Luke,6,"2, a bird, a snake, a dog and a turtle",#N/A,#N/A,#N/A,
478,The Invention of Lying,The Invention of Lying,1,1,#N/A,#N/A,18451251,
479,From Hell,From Hell,8,8,10/19/01,35000000,31598308,
480,Appaloosa,Appaloosa,13,11 and 2 horses,9/19/08,20000000,20211394,
481,Blood Work,Blood Work,7,7,8/9/02,50000000,26199517,
482,Black Dynamite,Black Dynamite,46,46,#N/A,#N/A,#N/A,
483,A View to a Kill,A View to a Kill,29,29 and 4 bitches banged,5/24/85,30000000,49667091,
484,Never Say Never Again,Never Say Never Again,17,17 and 4 bitches banged,10/7/83,36000000,55432841,
485,Deception,Deception,3,3,4/25/08,25000000,4598506,
486,Who Framed Roger Rabbit,Who Framed Roger Rabbit,9,2 people and 7 toons,#N/A,#N/A,#N/A,
487,Cyborg,Cyborg,34,"34, all human, including a toddler",#N/A,#N/A,#N/A,
488,Jumper,Jumper,6,6 bodies and 0 motherfuckers,2/14/08,82500000,81168265,
489,Funny Games (2008),Funny Games (2008),5,4 people and 1 dog,#N/A,#N/A,#N/A,
490,Saw VI,Saw VI,12,12,10/23/09,11000000,27693292,
491,Quarantine,Quarantine,10,"8 people, 1 dog and 1 rat",10/10/08,12000000,31691811,
492,The Basketball Diaries,The Basketball Diaries,2,2,#N/A,#N/A,#N/A,
493,The Living Daylights,The Living Daylights,22,22 and 2 bitches banged,7/31/87,40000000,50096813,
494,The Boondock Saints II: All Saints Day,The Boondock Saints II: All Saints Day,56,56,#N/A,#N/A,#N/A,
495,Prizzi's Honor,Prizzi's Honor,7,7,#N/A,#N/A,#N/A,
496,Malice,Malice,2,1 and an unborn fetus,#N/A,#N/A,#N/A,
497,Crank 2: High Voltage,Crank 2: High Voltage,41,41,4/17/09,20000000,13684249,
498,Fight Club,Fight Club,1,1,10/15/99,65000000,37030102,
499,Kill Bill: Volume 2,Kill Bill: Volume 2,11,11,4/16/04,55000000,66207920,
500,Pulp Fiction,Pulp Fiction,7,"7, plus Sam Jackson racked up 27 motherfuckers and 1 motherfucker accessory",10/14/94,8000000,107886108,
501,Piccadilly,Piccadilly,2,1 chinese homewrecking dancing biatch and 1 chinese creepy guy,#N/A,#N/A,#N/A,
502,"War, Inc.","War, Inc.",50,49 and a scorpion,5/23/08,10000000,578527,
503,Point Break,Point Break,9,9,7/12/91,24000000,28782481,
504,Romper Stomper,Romper Stomper,6,6,#N/A,#N/A,#N/A,
505,Seven Pounds,Seven Pounds,8,8,12/19/08,54000000,69951824,
506,The Wizard of Oz,The Wizard of Oz,2,2,8/25/39,2777000,33711566,
507,Man on the Moon,Man on the Moon,1,1,12/22/99,52000000,34580635,
508,The Killing Room,The Killing Room,3,3,#N/A,#N/A,#N/A,
509,Road to Perdition,Road to Perdition,23,23,#N/A,#N/A,#N/A,
510,Licence to Kill,Licence to Kill,23,"20, a starfish, 2 sharks and 2 bitches banged",7/14/89,42000000,33197509,
511,Goldeneye,Goldeneye,60,60 and 2 bitches banged,11/17/95,60000000,105978900,
512,Tomorrow Never Dies,Tomorrow Never Dies,819,819 and 2 bitches banged,12/19/97,110000000,125279326,
513,S.F.W.,S.F.W.,5,5,#N/A,#N/A,#N/A,
514,M*A*S*H,M*A*S*H,3,3,6/10/05,110000000,186336279,
515,Snoop Dogg's Hood of Horror,Snoop Dogg's Hood of Horror,18,17 and a dog,#N/A,#N/A,#N/A,
516,Night of the Demons,Night of the Demons,9,9,#N/A,#N/A,#N/A,
517,The Valley of the Bees,The Valley of the Bees,9,8 and a deer,#N/A,#N/A,#N/A,
518,The Men Who Stare at Goats,The Men Who Stare at Goats,3,2 and a goat,11/6/09,24000000,32428195,
519,The World is Not Enough,The World is Not Enough,62,62 and 3 bitches banged,11/19/99,135000000,126930660,
520,Die Another Day,Die Another Day,24,24 and 2 bitches banged,11/22/02,142000000,160932247,
521,Psycho Santa,Psycho Santa,10,10,#N/A,#N/A,#N/A,
522,Satan Claus,Satan Claus,9,9,#N/A,#N/A,#N/A,
523,The Christmas Season Massacre,The Christmas Season Massacre,9,9,#N/A,#N/A,#N/A,
524,Casino Royale (2006),Casino Royale (2006),22,22 and 1 bitch banged,#N/A,#N/A,#N/A,
525,Cheers for Miss Bishop,Cheers for Miss Bishop,4,4,#N/A,#N/A,#N/A,
526,Fahrenheit 451,Fahrenheit 451,3,3,#N/A,#N/A,#N/A,
527,Ronin,Ronin,33,33,9/25/98,55000000,41609593,
528,Next Day Air,Next Day Air,6,6,5/8/09,3000000,10027047,
529,Sherlock Holmes,Sherlock Holmes,6,6,12/25/09,90000000,209028679,
530,Jennifer's Body,Jennifer's Body,57,56 people and 1 succubus,9/18/09,16000000,16204793,
531,District 9,District 9,95,"48, a little alien dog, and 46 alien eggs",8/14/09,30000000,115646235,
532,North by Northwest,North by Northwest,5,5,#N/A,#N/A,#N/A,
533,National Lampoon's Christmas Vacation,National Lampoon's Christmas Vacation,1,1 cat,#N/A,#N/A,#N/A,
534,"Silent Night, Deadly Night","Silent Night, Deadly Night",14,13 and a snowman,#N/A,#N/A,#N/A,
535,The Hurt Locker,The Hurt Locker,19,18 and a fly,6/26/09,15000000,17017811,
536,Family Plot,Family Plot,1,1,4/9/76,3000000,13200000,
537,"Few Good Men, A Few Good Men","Few Good Men, A Few Good Men",2,2,#N/A,#N/A,#N/A,
538,Superstar,Superstar,2,2,10/8/99,14000000,30628981,
539,Dead Men Don't Wear Plaid,Dead Men Don't Wear Plaid,5,5,#N/A,#N/A,#N/A,
540,Love Happens,Love Happens,1,1,9/18/09,18000000,22965110,
541,American Pie Presents: The Book of Love,American Pie Presents: The Book of Love,2,1 and a squirrel,#N/A,#N/A,#N/A,
542,Juno and the Paycock,Juno and the Paycock,2,2,#N/A,#N/A,#N/A,
543,Johnny Mnemonic,Johnny Mnemonic,26,26,#N/A,#N/A,#N/A,
544,Amateur Porn Star Killer,Amateur Porn Star Killer,1,1,#N/A,#N/A,#N/A,
545,The Birds,The Birds,20,3 and 17 birds,#N/A,#N/A,#N/A,
546,Alice in Wonderland (2010),Alice in Wonderland (2010),4,"1, a frog, a jub-jub bird and a jabberwocky",#N/A,#N/A,#N/A,
547,Lifeboat,Lifeboat,125,124 and a baby,#N/A,#N/A,#N/A,
548,The Super Ninja,The Super Ninja,33,33,#N/A,#N/A,#N/A,
549,Gummo,Gummo,6,1 and 5 cats,#N/A,#N/A,#N/A,
550,Marathon Man,Marathon Man,12,12,#N/A,#N/A,#N/A,
551,Legend of the Liquid Sword,Legend of the Liquid Sword,16,15 and a frog,#N/A,#N/A,#N/A,
552,The Muppet Movie,The Muppet Movie,1,1 fly,6/22/79,8000000,76657000,
553,The Chumscrubber,The Chumscrubber,1,1,8/5/05,6800000,49526,
554,The Fourth Kind,The Fourth Kind,4,4,11/6/09,10000000,26218170,
555,The Langoliers,The Langoliers,3,3,#N/A,#N/A,#N/A,
556,The Monster Squad,The Monster Squad,14,"7 people, 4 vampires, a mummy, a wolfman and a creature from the black lagoon",#N/A,#N/A,#N/A,
557,Turok: Son of Stone,Turok: Son of Stone,158,"149 people, 2 horses, 2 bucks, a monkey, a bug, a sea monster, an elephant and a pterodactyl",#N/A,#N/A,#N/A,
558,Angels & Demons,Angels & Demons,15,15,5/15/09,150000000,133375846,
559,The Craft,The Craft,10,3 and 7 sharks,5/3/96,15000000,24703049,
560,Big Trouble,Big Trouble,2,1 person and 2 television sets,4/5/02,45000000,7262288,
