movieskey,trimmed names,moviename,deathcount,deathcomment,release date,budget,domestic gross,worldwide gross
55,Hellraiser VI: Hellseeker,Hellraiser VI: Hellseeker,5,5,#N/A,#N/A,#N/A,
56,Little Nikita,Little Nikita,5,5,#N/A,#N/A,#N/A,
57,Night of the Living Dead (1990),Night of the Living Dead (1990),19,19,#N/A,#N/A,#N/A,
58,Bad Santa,Bad Santa,1,1,11/26/03,18000000,60060328,
59,Pulse,Pulse,7,6 and a plane,8/11/06,20500000,20264436,
60,The Mosquito Coast,The Mosquito Coast,4,4,#N/A,#N/A,#N/A,
61,"Time Bandits	","Time Bandits	",1552,"37, plus 1 minotaur, 1 rat, 1 Evil Genius and everyone that died on the Titanic",#N/A,#N/A,#N/A,
62,Munchies,Munchies,13,"2 people, 8 munchies and some tropical fish",#N/A,#N/A,#N/A,
63,Gremlins 2: The New Batch,Gremlins 2: The New Batch,325,"3 people, 322 gremlins",6/15/90,50000000,41476097,
64,The Bride,The Bride,5,4 and a midget,#N/A,#N/A,#N/A,
65,Hellraiser VII: Deader,Hellraiser VII: Deader,11,11,#N/A,#N/A,#N/A,
66,Hope Floats,Hope Floats,1,1,5/29/98,30000000,60033780,
67,Wonderland,Wonderland,4,4,10/3/03,5500000,1060512,
68,Drop Dead Gorgeous,Drop Dead Gorgeous,7,"5, plus a trailer exploded and one girl lost her hearing	",7/23/99,10000000,10571408,
69,Primeval,Primeval,20,20,#N/A,#N/A,#N/A,
70,Ghoulies,Ghoulies,1,1 (I hate when people come back to life),#N/A,#N/A,#N/A,
71,"Ghoulies II, Ghoulies 2","Ghoulies II, Ghoulies 2",12,"7 people, 4 ghoulies, and one ghoulie eater",#N/A,#N/A,#N/A,
72,Layer Cake,Layer Cake,11,11,5/13/05,6500000,2338695,
73,Bad Taste,Bad Taste,66,"60, plus 5 seagulls and 1 sheep",#N/A,#N/A,#N/A,
74,Parents,Parents,3,3,#N/A,#N/A,#N/A,
75,Storm of the Century,Storm of the Century,11,11,#N/A,#N/A,#N/A,
76,Underworld,Underworld,45,"15 vampires, 29 lycan and one half lycan, half vampire fetus",9/19/03,22000000,51970690,
77,Open Water,Open Water,3,2 whiny assholes and one underwater camera eaten by a mako shark,8/6/04,500000,30500882,
78,The Scorned,The Scorned,42,"4, plus 1 death by a kamikaze goldfish, 2 deaths by lava lamp, one phone and all of the careers of the ""actors"" involved in making this movie.",#N/A,#N/A,#N/A,
79,In Her Shoes,In Her Shoes,1,1 old man,#N/A,#N/A,#N/A,
80,Final Destination 2,Final Destination 2,26,26,1/31/03,26000000,46896664,
81,Children of Men,Children of Men,15043,"39, a dog, 3 crispy cows and a refugee camp",12/25/06,76000000,35327768,
82,"Tombstone	","Tombstone	",31,31,#N/A,#N/A,#N/A,
83,The Skeleton Key,The Skeleton Key,3,3,8/12/05,40000000,47806295,
84,Final Destination 3,Final Destination 3,14,11 plus 2 fried bitches and a pigeon,2/10/06,25000000,54098051,
85,The Lost Boys,The Lost Boys,14,9 humans and 5 vampires,7/31/87,8500000,30331685,
86,Snatch,Snatch,21,21,12/8/00,10000000,30093107,
87,The Running Man,The Running Man,96,"18 before the opening titles ended, 60 innocent men, women & children, 4 stalkers and then 14 more people",11/13/87,30000000,37743350,
88,The Departed,The Departed,20,19 and a fly,10/6/06,90000000,132384315,
89,Millennium,Millennium,14,13 and 1 personal robot,#N/A,#N/A,#N/A,
