moviename,index,BoxOffice,ProductionBudget,Genre,ReleaseDate,deathcount,deathcomment
knowing,1829,79957634,50000000,thriller/suspense,3/20/2009,6785987235,All of Earth except for 2 kids and 2 rabbits
komodo vs cobra,,,,,,19,"15, plus 1 yacht, 2 giant komodos and 1 giant cobra"
kristy,,,,,,10,9 and a dog
krull,,,,,,44,"42 people, a cyclops and a beast"
kung pow: enter the fist,1838,16033556,10000000,comedy,1/25/2002,48,"43 people, a dog, 2 moths, a big toe, a stomach plug and one French alien UFO"
l!fe happens,1839,30905,930000,comedy,4/13/2012,0,0
la confidential,1842,64604977,35000000,drama,9/19/1997,31,31
labyrinth,,,,,,0,0
lady and the tramp,,,,,,1,1 rat
lake dead,,,,,,8,8
lake placid,1862,31770413,27000000,thriller/suspense,7/16/1999,5,"2, a bear, a cow and a giant crocodile"
lara croft: tomb raider: the cradle of life,1866,65653758,90000000,adventure,7/25/2003,48,44 and 4 shadow guardians
lara croft: tomb raider,1865,131144183,94000000,adventure,6/15/2001,11,11
last hours in suburbia,,,,,,1,1
last kind words,,,,,,4,4
last quarter,,,,,,2,2
law abiding citizen,1877,73357727,53000000,thriller/suspense,10/16/2009,15,15
lawn dogs,,,,,,3,2 chickens and 1 dog
layer cake,1881,2338695,6500000,thriller/suspense,5/13/2005,11,11
lazarus project,,,,,,5,5
leatherface: the texas chainsaw massacre iii,,,,,,7,6 and 1 armadillo
leaves of grass,1891,70066,9000000,black comedy,4/2/2010,7,6 and a catfish
lee daniels the butler,1893,116632095,30000000,drama,8/16/2013,6,6
legally blonde,1897,96493426,18000000,comedy,7/13/2001,0,0
legend of the liquid sword,,,,,,16,15 and a frog
legends of the fall,1902,66484854,30000000,drama,12/23/1994,8765,"8,763 people, 1 cow and 1 unidentified animal"
legion,1903,40122938,26000000,thriller/suspense,1/22/2010,217,172 and 45 locusts
lemony snickets a series of unfortunate events,1904,118627117,100000000,comedy,12/17/2004,4,4
leprechaun,,,,,,5,4 and a cricket
leprechaun 2,,,,,,5,5
leprechaun 3,,,,,,5,5
leprechaun 4: in space,,,,,,12,"6, an alien creature, a spider, a scorpion, a fly, a cyborg, and 1 Mittenspider"
leprechaun: in the hood,,,,,,11,11
les mis�_��rables les miserables,,,,,,35,35
less than zero,,,,,,1,1
let go,,,,,,0,0
let me in,1913,12134935,20000000,thriller/suspense,10/1/2010,10,10
let the right one in,,,,,,8,8
lethal weapon,1914,59932279,15000000,action,3/6/1987,28,28
lethal weapon 2,,,,,,28,28
let��s be cops,1922,82390774,17000000,comedy,8/13/2014,3,3
lets go to prison,1917,4630045,4000000,comedy,11/17/2006,1,1
leviathan,,,,,,8,"6, a spider crab and a genetic alteration"
licence to kill,1924,33197509,42000000,action,7/14/1989,23,"20, a starfish, 2 sharks and 2 bitches banged"
life as we know it,1929,53374681,38000000,romantic comedy,10/8/2010,2,2
life blood,,,,,,9,8 and a possum
life of crime,,,,,,1,1
life of pi,1932,124987022,120000000,drama,11/21/2012,328,"25, a goat, a giraffe, a camel, an ostrich, a warthog, 6 birds, 5 monkeys, an ibex, a cheetah, a hippo, 2 orangutans, a rhino, a zebra, a hyena, a rat, 2 big fish, a boatload of flying fish, 45 jellyfish, 40 fish eaten by acid and 61 meerkats"
lifeboat,,,,,,125,124 and a baby
like water for chocolate,,,,,,9,8 and a baby
lilo & stitch,1940,145771527,80000000,adventure,6/21/2002,1,1 alien cop
limitless,1942,79249455,27000000,thriller/suspense,3/18/2011,11,11
the lion king,3607,422780140,79300000,adventure,6/15/1994,22,"19 bugs, a zebra, Mufasa and Scar"
little birds,,,,,,1,1
little bit of heaven a little bit of heaven,,,,,,1,1
little boy blue,,,,,,5,5
little miss sunshine,1953,59891098,8000000,comedy,7/26/2006,1,1
little nikita,,,,,,5,5
little shop of horrors,1955,38747385,30000000,musical,12/19/1986,3,"2 and a plant<br />(However, in the original ending that Frank Oz shot, the true body count would be 4 and no plant. Test audiences hated this ending "
live and let die,1958,35400000,7000000,action,6/27/1973,8,"6, a snake, a crocodile, and 3 bitches banged"
live free or die hard,1959,134529403,110000000,action,6/27/2007,41,41
lock stock and two smoking barrels,1962,3714067,1350000,black comedy,3/5/1999,15,15
lockout,1964,14326865,20000000,thriller/suspense,4/13/2012,533,533
logans run,,,,,,49,48 and a robot
lonely hearts,,,,,,11,"8 people, 2 fetuses and a little girl"
the long kiss goodnight,3612,33430951,65000000,action,10/11/1996,52,"50, a deer, a cricket, and Samuel L. Jackson graced us with two motherfuckers."
looper,1976,66486205,30000000,action,9/28/2012,50,50
the lord of the rings: the fellowship of the ring,3619,315544750,109000000,adventure,12/19/2001,183,"102 before the title and then 72 more, plus 9 horses"
the lord of the rings: the two towers,3621,342548984,94000000,adventure,12/18/2002,1246,"87 men, 67 elves, 1,068 orcs, 6 horses, 13 worgs, 1 ent, 1 balrog, 2 rabbits and 1 fish"
the lord of the rings: the return of the king,3620,377845905,94000000,adventure,12/17/2003,220334,"15,107 men, 205,066 orcs, 110 trolls, 7 horses, 1 worm, 1 hobbit, 1 fish, 20 elephants, 9 Nazgul, 9 Fell Beasts, 1 giant creepy-ass spider, Sauron and Gollum"
lord of war,1977,24149632,42000000,action,9/16/2005,69,69
lost in translation,1985,44585453,4000000,drama,9/12/2003,0,0
lost tribe,,,,,,21,"19 people, 1 dog and 1 tribesman"
the lost world: jurassic park,3629,229074524,75000000,action,5/22/1997,16,"14 people, a dog and a Velociraptor"
love and a 45,,,,,,13,8 and 5 bugs
love happens,1994,22965110,18000000,drama,9/18/2009,1,1
love sick love,,,,,,2,2
love wedding marriage,,,,,,1,1 fish
lucky,,,,,,4,4
lucky number slevin,2006,22495466,27000000,thriller/suspense,4/7/2006,22,"20 people, 1 horse, and 1 apartment"
lucy,2009,126573960,40000000,action,7/25/2014,44,"41, a bug, a fish and a gazelle"
m*a*s*h,,,,,,3,3
macbeth (2010),,,,,,20,20
machete,2015,26593646,12500000,action,9/3/2010,78,77 and an unborn child
mad dog morgan,,,,,,12,10 and 2 snakes
mad max,2020,8750000,200000,action,3/21/1980,10,9 and a dog
mad max 2: the road warrior,2021,24600832,2000000,action,5/21/1982,42,"39 people, a rabbit, a snake and a dog"
mad max beyond thunderdome,2022,36230219,10000000,action,7/10/1985,8,7 and a horse
madhouse,,,,,,1,1 snake
madhouse,,,,,,7,7
madhouse (1974),,,,,,8,8
magnolia,2038,22450975,37000000,drama,12/17/1999,30000000,"8, a dog, and a whole LOT of frogs"
make-out with violence,,,,,,5,"2 people, 2 dogs and a rat"
malevolence,2044,126021,200000,horror,9/10/2004,5,5
malice,,,,,,2,1 and an unborn fetus
mallrats,2046,2028211,6100000,comedy,10/20/1995,0,0
mama,2048,71628180,15000000,horror,1/18/2013,9,"6 people, a baby and 2 moths"
man of steel,2052,291045518,225000000,action,6/14/2013,2000129220,"129,039 people, General Zod, 10 Kryptonian soldiers, 170 Kryptonian fetuses and the planet Krypton"
man of the house,2053,19118247,50000000,comedy,2/25/2005,4,4
man on the moon,2057,34580635,52000000,drama,12/22/1999,1,1
the man who knew too little,3642,13801755,20000000,comedy,11/14/1997,4,4
man who wasnt there,,,,,,4,3 and a fetus
management,,,,,,1,1
maniac (1980),,,,,,6,6
maniac (2012),,,,,,8,8
manic,,,,,,1,1
mansfield park,,,,,,1,1
marathon man,,,,,,12,12
margarita happy hour,,,,,,1,1
margin call,2065,5353586,3400000,drama,10/21/2011,1,1 dog
mars attacks!,2072,37754208,80000000,comedy,12/13/1996,204,"122 people, 78 aliens, 2 dogs, 1 dove and 1 bird"
mary and max,,,,,,16,"6, 2 flies, 1 worm and 7 fish"
mary horror,,,,,,16,16 and an eyeball
mary shelleys frankenstein,,,,,,12,9 and 3 dogs
mask maker,,,,,,12,11 and a baby
matilda,,,,,,1,1
max payne,2084,40687294,35000000,action,10/17/2008,32,32
may,,,,,,7,"5, a cat, and a creepy porcelain doll"
the maze runner,3658,102427862,34000000,thriller/suspense,9/19/2014,17,14 and 3 Grievers
me myself & irene,2091,90570999,51000000,romantic comedy,6/23/2000,1,1
mean creek,2093,603951,500000,drama,8/20/2004,2,1 and a snail
mean girls,2094,86047227,18000000,comedy,4/30/2004,0,0
mean streets,,,,,,1,1
meet bill,,,,,,1,1 duck
meet the fockers,2101,279167575,60000000,comedy,12/22/2004,0,0
meet the parents,2102,166225040,55000000,comedy,10/6/2000,0,0
meeting evil,,,,,,18,18 people and 1 motherfucker
mega piranha,,,,,,4165,"47, plus 1 shark, 1 cruise ship, 1 navy ship, 1 nuclear submarine and 41 mega piranhas"
mega shark vs giant octopus,,,,,,2306,"9, plus an oil rig, a whale, a plane snatched out of the air by mega shark, two U.S. navy ships, one oil tanker crew killed by pirates, one pirate crew cooked well done, 7 U.S. submarines, one Japanese submarine, one mega shark and one giant octopus"
megan is missing,,,,,,1,1
melancholia,2107,3030848,9400000,thriller/suspense,11/11/2011,7021836029,"7,021,836,029"
memento,2108,25530884,5000000,drama,3/16/2001,4,4
memoirs of a geisha,2109,57010853,85000000,drama,12/9/2005,2,2
men at work,,,,,,1,1
men in black,2111,250147615,90000000,adventure,7/1/1997,19,"5 humans, 5 aliens, 5 roaches, 1 dragonfly and 3 flies"
men in black 2,2112,190418803,140000000,action,7/3/2002,11,1 human and 10 aliens
men women &#38; children,,,,,,0,0
menace ii society,2116,27731527,3500000,action,5/26/1993,8,8
mental,,,,,,0,0
mercury rising,2117,32940507,60000000,thriller/suspense,4/3/1998,15,15
messages deleted,,,,,,6,6
midnight cowboy,,,,,,1,1
milk,2137,31841299,20000000,drama,11/26/2008,4,4
millennium,,,,,,14,13 and 1 personal robot
million dollar baby,2139,100422786,30000000,drama,12/15/2004,1,1
minority report,2142,132024714,102000000,action,6/21/2002,3,3
miracle on 34th street (1947),,,,,,0,0
mirror mirror,2145,64935167,85000000,adventure,3/30/2012,0,0
mirror of death,,,,,,3,3
misery,,,,,,2,2
miss nobody,,,,,,8,8
mission: impossible 2,2156,215409889,120000000,action,5/24/2000,280,280
mission: impossible iii,2157,133501348,150000000,action,5/5/2006,29,29
mission: impossible,2153,180891004,80000000,action,5/21/1996,38,"7 people, a rat and 30 fish"
mojave moon,,,,,,1,1
money train,2168,35305090,68000000,action,11/22/1995,3,3
moneyball,2169,75605492,50000000,drama,9/23/2011,0,0
monkey shines,,,,,,6,"4 people, a bird and a monkey"
monster,2174,34469210,5000000,drama,12/24/2003,4,4
monster house,2175,73661010,75000000,adventure,7/21/2006,2,1 and a monster house (More people were eaten by the monster house but at the end they magically reappeared and we had to cross them off the list.)
monsters vs aliens,2181,198351526,175000000,adventure,3/27/2009,3682,"3,601 aliens and 81 giant alient robot probes"
monsturd,,,,,,12,11 and 1 Shitman
moonraker,2186,70300000,31000000,action,6/29/1979,121,"108, 12 pheasants, 1 python and 3 bitches banged"
moonrise kingdom,2187,45512466,16000000,drama,5/25/2012,2,1 dog and 1 fish
most high,,,,,,2,2
motel hell,,,,,,6,6
mothers boys,,,,,,1,1
mothers day (2010),,,,,,11,11
moulin rouge,2193,57386369,53000000,musical,5/18/2001,1,1
mouth to mouth (2005),,,,,,2,2
movie 43,2195,8840453,10000000,comedy,1/25/2013,0,0
mr & mrs smith (1941),,,,,,0,0
mr brooks,,,,,,8,8
mr deeds,2199,126203320,50000000,comedy,6/28/2002,1,1
mr hush,,,,,,5,4 and a vampire
mr jingles,,,,,,17,17
mr nobody,,,,,,0,0
mr popperss penguins,2202,68224452,55000000,adventure,6/17/2011,0,0
mrs doubtfire,2205,218692701,25000000,comedy,11/24/1993,0,0
mud,2209,21590086,10000000,drama,4/26/2013,5,5
mulholland drive,2211,7219578,15000000,drama,10/8/2001,9,9
mum & dad,,,,,,6,6
munchies,,,,,,13,"2 people, 8 munchies and some tropical fish"
muppets from space,2215,16304786,24000000,comedy,7/14/1999,1,1 cat
murder!,,,,,,1,1
mutant,,,,,,30,29 and 1 Monte Carlo
mutant species,,,,,,20,"18, a bug and Walter the mutant"
mutant vampire zombies from the hood!,,,,,,92,92
my big fat greek wedding,2226,241438208,5000000,romantic comedy,4/19/2002,0,0
my bloody valentine (1981),,,,,,15,15
my bloody valentine,2228,51545952,14000000,horror,1/16/2009,31,31
my little eye,,,,,,5,5
my own private idaho,2242,6401336,2500000,black comedy,9/29/1991,2,2
my sisters keeper,2243,49200230,27500000,drama,6/26/2009,2,2
my soul to take,2244,14744435,25000000,horror,10/8/2010,9,9
my super ex-girlfriend,2247,22530295,30000000,comedy,7/21/2006,1,1 shark
my year without sex,,,,,,1,1 fish
mystery men,2250,29762011,68000000,comedy,8/6/1999,106,6 and a blown-up asylum
napoleon dynamite,2263,44540956,400000,comedy,6/11/2004,1,1 cow
national lampoons christmas vacation,,,,,,1,1 cat
national lampoons dirty movie,,,,,,0,0
national lampoon��s vacation,2267,61399552,15000000,comedy,7/29/1983,2,Aunt Edna and the dog
national treasure,2268,173005002,100000000,adventure,11/19/2004,2,2
natural born killers,,,,,,123,122 and a scorpion
nature calls,,,,,,1,1
near dark,,,,,,15,15
necromentia,,,,,,7,6 and a pig-faced demon
necropolis (1987),,,,,,17,12 and 5 ghouls
ned kelly,,,,,,37,"31 people, 2 horses, 2 boar, a monkey and a lion"
ned rifle,,,,,,2,2
neighbors,2273,150086800,18000000,comedy,5/9/2014,0,0
neo ned,,,,,,5,4 and a dog
network,2274,23689877,3800000,drama,1/1/1976,2,2
never let me go,2277,2419730,15000000,drama,9/15/2010,3,3
never say never again,2278,55432841,36000000,action,10/7/1983,17,17 and 4 bitches banged
new moon,,,,,,3,2 and 1 vampire
new years eve,2280,54544638,26000000,romantic comedy,12/9/2011,1,1
new years evil,,,,,,7,7
new york i love you,,,,,,1,1
next,,,,,,2,2
next day air,2285,10027047,3000000,comedy,5/8/2009,6,6
next stop wonderland,2287,3386698,1000000,romantic comedy,8/21/1998,0,0
night at the museum,2292,250863268,110000000,comedy,12/22/2006,1,1 caveman statue
night of the comet,,,,,,4769000095,The entire population of Earth in 1984 minus 6 people plus 2 cars
night of the demons,,,,,,9,9
night of the demons (2009),,,,,,7,7
night of the demons 2,,,,,,9,8 people and a demon
night of the living dead,2296,5835247,4200000,horror,10/19/1990,15,15
night of the living dead,2297,12000000,114000,horror,10/1/1968,19,19
night of the living dead 3d,,,,,,10,10
night train to terror,,,,,,27,16 and 11 musicians
night watch (aka nochnoi dozor aka nochnoy dozor),,,,,,48,"46, a bug and a bird"
nightcrawler,2298,32381218,8500000,thriller/suspense,10/31/2014,30,30
nights in rodanthe,,,,,,1,1
nine dead,,,,,,10,10
ninja vs bruce lee,,,,,,3,3
no country for old men,2306,74273505,25000000,action,11/9/2007,18,17 and a dog
no reservations,2311,43107979,28000000,romantic comedy,7/27/2007,1,1
nobody knows,,,,,,1,1
norikos dinner table,,,,,,85,85
north by northwest,,,,,,5,5
not safe for work,,,,,,11,11
novocaine,2329,2025238,6000000,comedy,11/16/2001,2,2
now and then,,,,,,0,0
now you see me,2330,117723989,75000000,thriller/suspense,5/31/2013,0,0
number seventeen,,,,,,2,2
nurse betty,2335,25170054,24000000,black comedy,9/8/2000,4,4
nymphomaniac: volume 1,,,,,,1,1
nymphomaniac: volume ii,,,,,,1,1
o,,,,,,5,5
o brother where art thou?,2337,45506619,26000000,comedy,12/22/2000,14,"7 people, a chicken, 2 gophers, 2 cows, a toad and a dog"
observe and report,2340,24007324,18000000,comedy,4/10/2009,0,0
oceans eleven,2345,183417150,85000000,thriller/suspense,12/7/2001,1,1
october sky,,,,,,1,1
octopussy,2349,62440579,27500000,action,6/10/1983,97,"96 and a spider, and 2 bitches banged"
oculus,2350,27695246,5000000,horror,4/11/2014,4,4
office space,2351,10824921,10000000,black comedy,2/19/1999,2,1 and a fish
old school,2353,75155000,24000000,comedy,2/21/2003,3,3
oldboy,2354,707391,3000000,thriller/suspense,3/25/2005,6,5 and an octopus
oldboy (2013),,,,,,39,"28 people, 1 mouse, 10 baby mice, 7 motherfuckers and 1 motherfucking"
olympus has fallen,2357,98927592,70000000,thriller/suspense,3/22/2013,223,222 and a dog
on her majestys secret service,2359,22800000,8000000,action,12/18/1969,20,20 and 3 bitches banged
on the inside,,,,,,8,8
once bitten,,,,,,0,0
once upon a time in america,2367,5321508,30000000,drama,6/1/1984,11,11
once upon a time in the west,,,,,,35,33 and 2 birds
one flew over the cuckoos nest,2371,108981275,4400000,drama,11/19/1975,2,2
one for the money,2372,26414527,42000000,comedy,1/27/2012,6,6
one hour photo,2373,31597131,12000000,drama,8/21/2002,0,0
one last thing,,,,,,1,1
one true thing,2376,23209440,30000000,drama,9/18/1998,1,1
ong-bak: the thai warrior,,,,,,8,8
open water,2382,30500882,500000,thriller/suspense,8/6/2004,3,2 whiny assholes and one underwater camera eaten by a mako shark
open water 2: adrift,,,,,,5,5 and an inflatable dolphin
orange county,2383,41059716,18000000,comedy,1/11/2002,1,1
orphan,2387,41596251,20000000,drama,7/24/2009,4,3 and a pigeon
orphan killer,,,,,,10,10
otis,,,,,,3,3
our man flint,,,,,,14,"13 people, 1 fly and 1 bitch banged"
out of the furnace,2400,11330849,22000000,drama,12/4/2013,8, 7 and a deer
p2,,,,,,4,3 and a dog
pact,,,,,,3,3
pain & gain,2411,49875291,26000000,action,4/26/2013,2,2
paintball,,,,,,10,10
pandorum,2416,10330853,40000000,horror,9/25/2009,2176,"2,174 and 2 grasshoppers"
panic in needle park,,,,,,1,1 puppy
panic room,2418,95308367,48000000,thriller/suspense,3/29/2002,2,2
pans labyrinth,,,,,,28,"22, a giant toad, 2 bugs, 2 fairies and a magic root"
paranormal activity,2422,107918810,450000,horror,9/25/2009,1,1
paranormal activity 2,2423,84752907,3000000,horror,10/20/2010,3,2 and 1 bird
paranormal activity 3,2424,104028807,5000000,horror,10/21/2011,2,2
paranormal activity 4,2425,53900335,5000000,horror,10/19/2012,2,2
paranormal activity: the marked ones,2426,32462372,5000000,horror,1/3/2014,7,7
paranormal entity,,,,,,2,2
paranorman,2427,56003051,60000000,comedy,8/17/2012,2,1 and a fly
parents,,,,,,3,3
party monster,2431,742898,5000000,comedy,8/29/2003,3,3
pathfinder,,,,,,243,"240, 2 horses and 1 bear"
paul,2436,37412945,40000000,comedy,3/18/2011,4,"2, a bird and a dog"
paycheck,2441,53789313,60000000,thriller/suspense,12/25/2003,6,6
peacock,,,,,,1,1
peacock,,,,,,1,1
penny dreadful,,,,,,5,5
people like us,2450,12431792,16000000,drama,6/29/2012,0,0
perfect ending a perfect ending,,,,,,1,1
a perfect getaway,108,15515460,14000000,thriller/suspense,8/7/2009,8,7 and a goat
perfect sisters,,,,,,1,1
perfume,,,,,,28,"27, 1 cat, and the biggest orgy EVER."
pervert!,,,,,,7,5 and 2 snakes
pet sematary,2457,52795778,11500000,horror,4/21/1989,11,"9, 1 cat and 1 mouse"
pet sematary ii,,,,,,34,"7 people, 2 dogs (1 euthanized, 1 shot), 3 kittens, 22 rabbits, and 1 zombie rape"
petrified,,,,,,9,"6 people and 1 alien mummy destroyed by salt like a slug. Also, one woman's hair and one FBI partner mysteriously disappeared between one scene and the next."
phantoms,,,,,,11,10 and a dog
phantoms,,,,,,9,8 and a dog
phenomena,,,,,,7,7
phenomenon,2464,104632573,32000000,drama,7/5/1996,1,1
philadelphia,2465,76512063,26000000,drama,12/22/1993,1,1
phone booth,2467,46566212,11000000,thriller/suspense,4/4/2003,4,4
piccadilly,,,,,,2,1 chinese homewrecking dancing biatch and 1 chinese creepy guy
pieces,,,,,,7,7
pieces of april,2469,2498144,300000,comedy,10/17/2003,1,1 squirrel
pieces of talent,,,,,,5,5
pig hunt,,,,,,22,"16 people, a dog, a horse, a snake, a deer, a hog and The Ripper (a 3,000 lb hog)"
the pineapple express,3748,87341380,26000000,comedy,8/6/2008,21,"19, a bug and a very large crop of marijuana"
pinocchios revenge,,,,,,3,2 people and 1 girl doll
pirate radio,,,,,,0,0
pirates of the caribbean: at worlds end,2474,309420425,300000000,adventure,5/24/2007,88,88
pirates of the caribbean: dead mans chest,2475,423315812,225000000,adventure,7/7/2006,57,56 and a hermit crab
pirates of the caribbean: on stranger tides,2476,241063875,250000000,adventure,5/20/2011,63,"56 people, 2 mermaids, 3 poisonous toads and 2 zombie pirates"
pirates of the caribbean: the curse of the black pearl,2477,305411224,125000000,adventure,7/9/2003,17,17
pistoleros,,,,,,5,4 and a dog
pitch black,2478,39235088,23000000,horror,2/18/2000,63,40 and 23 aliens
pitch perfect,2479,65001093,17000000,comedy,9/28/2012,0,0
planet of the apes,2484,180011740,100000000,adventure,7/27/2001,21,20 and 1 ape
planet terror grindhouse,,,,,,169,"32 people, 136 infected and a dog"
platoon,2485,132761962,6000000,drama,12/19/1986,570,569 and a pig
playing by heart,,,,,,1,1
pleasures of the damned,,,,,,17,14 people and 3 zombies
point break,2491,43218387,24000000,action,7/12/1991,9,9
police academy,2496,81198894,4500000,comedy,3/23/1984,0,0
police academy 2: their first assignment,,,,,,1,1 fish
police academy 3: back in training,,,,,,3,2 flies and 1 mosquito
pootie tang,2508,3293258,3500000,comedy,6/29/2001,0,0
popcorn,,,,,,7,7
postal,,,,,,742,"148, a baby, and all the people that died when the first plane hit the World Trade Center, including the window washer."
pot zombies,,,,,,22,22
pour elle aka anything for her,,,,,,3,3
practical magic,2514,46611204,60000000,comedy,10/16/1998,4,4
predator,2517,56072497,18000000,action,6/12/1987,72,"69, a scorpion, a boar and a predator"
predator 2,2518,28317513,35000000,action,11/21/1990,39,38 and a predator
predators,2519,52000688,40000000,action,7/9/2010,19,"7 people, 4 predators, 1 bug, 6 horny alien dogs and 1 alien thing"
premonition,2522,47852604,20000000,thriller/suspense,3/16/2007,3,2 people and 1 crow
preservation,,,,,,7,"5, a dog and a deer"
pretty persuasion,,,,,,1,1
pride and glory,2525,15740721,30000000,drama,10/24/2008,11,11
primal,,,,,,31,"7 people, 1 demonic alien fetus, 1 kangaroo, 1 bug, 1 demonic rabbit and 20 leeches"
primer,2529,424760,7000,drama,10/8/2004,2,2
primeval,,,,,,20,20
prince avalanche ,,,,,,4,3 fish and a squirrel
prisoners,2533,61002302,46000000,thriller/suspense,9/20/2013,4,4
prizzis honor,,,,,,7,7
prom night,2538,43869350,18000000,horror,4/11/2008,7,7
prometheus,2539,126477084,125000000,adventure,6/8/2012,18,15 plus 2 space jockeys and a giant alien squid baby (aka the original facehugger)
proxy,,,,,,5,"3 people, a little boy and a fetus"
prozac nation,,,,,,0,0
ps i love you,2543,53695808,30000000,romantic comedy,12/21/2007,1,1
psycho (1960),,,,,,2,2
psycho (1998),,,,,,2,2
psycho santa,,,,,,10,10
public enemies,2546,97104620,102500000,drama,7/1/2009,22,22
puff puff pass,,,,,,1,1
pulp fiction,2547,107886108,8000000,drama,10/14/1994,7,"7, plus Sam Jackson racked up 27 motherfuckers and 1 motherfucker accessory"
pulse,2548,20264436,20500000,horror,8/11/2006,7,6 and a plane
pumpkinhead,,,,,,8,7 and a demon
puncture,,,,,,2,2
the punisher,3775,33571379,33000000,action,4/16/2004,58,58
punisher: war zone,2551,8050977,35000000,action,12/5/2008,108,108
punk rock holocaust,,,,,,2289,"2,288 people and a robot"
push,2552,31811527,38000000,thriller/suspense,2/6/2009,40,27 people and 13 fish
pusher (2012),,,,,,1,1
python,,,,,,15,14 and 1 giant genetically-enhanced python
q: the winged serpent,,,,,,17,"15 humans and 2 Qs. Jon further broke this down for us as follows: 4 decapitations, 1 skinning, 10 other, mostly dropped from high up. Also, all his predictions came true."
quantum of solace,2556,169368427,230000000,action,11/14/2008,24,23 and a fly and 1 bitch banged
quarantine,2557,31691811,12000000,horror,10/10/2008,10,"8 people, 1 dog and 1 rat"
quarantine 2: terminal,,,,,,20,19 and a fetus
queer duck: the movie,,,,,,1,1 buzzard
quest for camelot,2561,22717758,40000000,adventure,5/15/1998,2,2
quid pro quo,,,,,,0,0
rabbit hole,2567,2229058,5000000,drama,12/17/2010,0,0
radioland murders,,,,,,7,7
raiders of the lost ark,2577,248159971,20000000,adventure,6/12/1981,119,"55, a monkey and 63 ""impossible to count"" snakes"
raising arizona,,,,,,1,1
rambo iii,2584,53715611,58000000,action,5/25/1988,63,62 and a chicken
rambo iii,2584,53715611,58000000,action,5/25/1988,132,130 and 2 horses
rambo iv,,,,,,298,"6 before the title, then 283 more plus 2 oxen, 3 fish and 4 dogs"
rampage,,,,,,70,70
rampart,,,,,,1,1
rear window,,,,,,2,1 and a dog
red,2602,90380162,60000000,action,10/15/2010,16,16
red dawn,2605,44806783,65000000,action,11/21/2012,107,106 and a deer
red dragon,2606,92955420,78000000,thriller/suspense,10/4/2002,4,4
red riding hood,2610,37662162,42000000,thriller/suspense,3/11/2011,16,"13 people, 1 werewolf, 1 wolf and 1 rabbit"
red state,2612,1065429,4000000,horror,3/5/2011,17,17
red water,,,,,,13,"10, 2 sharks and a fish"
redemption,2616,36686,23000000,thriller/suspense,6/28/2013,10,10
redneck zombies,,,,,,15,"8 people, 6 zombies and 1 piglet"
reef,,,,,,4,4
reefer madness,,,,,,3,3
reefer madness: the movie musical,,,,,,6,5 and a fly
reindeer games,2622,23360779,36000000,action,2/25/2000,10,10
renegade,,,,,,30,28 and 2 horses
reno 911!: miami: the movie,,,,,,7,"5 people, 1 whale, and an ice cream truck"
repo men,2633,13794835,32000000,action,3/19/2010,29,29
repo! the genetic opera,2634,140244,8500000,musical,11/7/2008,14,14
requiem for a dream,2635,3635482,4500000,drama,10/6/2000,1,1
reservoir dogs,,,,,,11,11
resident evil,2637,39532308,35000000,horror,3/15/2002,30,"21, 8 dogs and 1 licker"
resident evil: extinction,2640,50648679,45000000,action,9/21/2007,15576,"576, 3 dogs and an entire flock of demon birds"
resident evil: apocalypse,2639,50740078,50000000,horror,9/10/2004,50120,"111, plus 1 that we almost missed because we were too busy talking about sex, 4 dogs, 3 lickers and an entire city (including 1 nemesis boyfriend)"
rest stop,,,,,,3,3
rest stop: dont look back,,,,,,7,7
return of the living dead: necropolis,,,,,,103,103
return to horror high,,,,,,4,4 flies
return to paradise,,,,,,1,1
return to sender,,,,,,1,1 dog
return to sleepaway camp,,,,,,11,5 and 6 frogs
revolt of the zombies,,,,,,3,3
rich and strange,,,,,,3,2 and a cat
richard iii,2653,2684904,9200000,drama,12/29/1995,29,29
rid of me,,,,,,0,0
riddick,2654,42025135,38000000,action,9/6/2013,63,"9 humans, 3 Necromongers (aka Monger Lords), 1 alien bird, 2 alien jackals, 4 alien eels, 42 mud demons and 2 mud demon babies"
ripd,2663,33618855,130000000,action,7/19/2013,8,8
rise of the planet of the apes,2665,176760185,93000000,adventure,8/5/2011,26,"8 people, 15 chimps, 1 gorilla, 1 orangutan and a bug"
rising sun,,,,,,5,5
road kill,,,,,,4,4
the road to perdition,3809,104054514,80000000,drama,7/12/2002,23,23
road trip,2672,68525609,16000000,comedy,5/19/2000,1,1
road trip: beer pong,,,,,,1,1 boar
rob roy,2675,31341940,28000000,drama,4/7/1995,26,"14, a dog, 7 cows, 2 chickens and 2 sheep"
robin hood (1973),,,,,,0,0
robocop (1987),,,,,,140,139 and 1 ED-209
robocop (2014),,,,,,113,"55 people, 54 EM-208's, 4 ED-209's and 1 motherfucker"
robocop 2,,,,,,58,58
robocop 3,2680,10696210,22000000,action,11/5/1993,53,50 and 3 RoboNinjas
rock,,,,,,23,23
rocknrolla,2685,5700626,18000000,action,10/8/2008,9,9
rocky iii,,,,,,1,1
rollercoaster,,,,,,21,"20, plus one mad bomber killed by irony"
rolling kansas,,,,,,4,3 ducks that looked like geese and one accidental rabbit smothering
romancing the stone,,,,,,5,"3, a snake and a crocodile"
romeo + juliet,,,,,,5,5
romper stomper,,,,,,6,6
ronin,2697,41609593,55000000,action,9/25/1998,33,33
rory oshea was here,,,,,,1,1
rosemarys baby,,,,,,2,2
rosewood lane,,,,,,4,4
