moviename,index,BoxOffice,ProductionBudget,Genre,ReleaseDate,deathcount,deathcomment
angels & demons,251,133375846,150000000,thriller/suspense,5/15/2009,15,15
angels of the universe,,,,,,2,2
animal house,,,,,,1,1 horse and a guitar
animal room,,,,,,4,3 and a bunny
annabelle,256,84273813,6500000,horror,10/3/2014,5,5
another happy day,263,9120,4000000,drama,11/18/2011,1,1
antibodies,,,,,,7,"4, 2 dogs and a porcupine"
antitrust,267,10965209,30000000,thriller/suspense,1/12/2001,2,2
apocalypto,274,50866635,40000000,adventure,12/8/2006,66,"59 people, 1 tapir, 3 ants, 1 jaguar, 1 monkey and 1 snake"
apollo 13,275,172036360,65000000,drama,6/30/1995,3,3
apollo 18,276,17686929,5000000,thriller/suspense,9/2/2011,4,3 astronauts and a spider moon rock
appaloosa,277,20211394,20000000,western,9/19/2008,13,11 and 2 horses
april fools,,,,,,2,2
aqua teen hunger force colon movie film for theaters,279,5520368,750000,comedy,4/13/2007,17,"2 people, 2 cats, 9 chocolate unicorns, 1 fly, 1 Insanoflex, 1 caterpillar and Chicken Bittle"
are you scared?,,,,,,7,7
argo,285,136025503,44500000,thriller/suspense,10/12/2012,1,1
armageddon,287,201573391,140000000,adventure,7/1/1998,434119870,"2,405,324 people and 431,714,546 dinosaurs"
armored,288,15988876,20000000,thriller/suspense,12/4/2009,6,6
army of darkness,289,11502976,11000000,horror,2/19/1993,77,77
art school confidential,,,,,,153,3 and an apartment building
as good as dead,,,,,,13,12 and a dog
assault of the sasquatch,,,,,,16,"14, a bear and a dog"
assault on precinct 13,302,20040895,30000000,action,1/19/2005,22,22
assault on wall street,,,,,,37,37
asylum,,,,,,7,7
atm,,,,,,5,5
august: osage county,314,37738810,25000000,black comedy,12/25/2013,1,1
austin powers in goldmember,315,213117789,63000000,comedy,7/25/2002,4,3 and a fembot
austin powers: international man of mystery,316,53868030,18000000,comedy,5/2/1997,25,18 and 7 fembots
austin powers: the spy who shagged me,317,205957794,35000000,comedy,6/10/1999,6,5 and a fembot
australia,318,49554002,130000000,drama,11/26/2008,313,"298, 10 cows, 1 horse, 2 flies, 1 kangaroo and a dog"
