,Release Date,Movie,Genre,ProductionBudget,BoxOffice
1028,1997-07-11,a simple wish,comedy,28000000,8119205
1067,2009-12-11,a single man,drama,7000000,9176000
1529,2005-09-02,a sound of thunder,action,80000000,1900451
1958,1999-09-10,a stir of echoes,thriller/suspense,12000000,21133087
431,1996-04-03,a thin line between love & hate,romantic comedy,8000000,34873513
533,2012-03-09,a thousand words,comedy,40000000,18450127
675,1996-07-24,a time to kill,drama,40000000,108706165
141,2011-11-04,a very harold & kumar 3d christmas,comedy,20000000,35061031
142,2004-11-26,a very long engagement,drama,55000000,6167817
187,1985-05-24,a view to a kill,action,30000000,49667091
57,2014-09-19,a walk among the tombstones,action,28000000,26017685
66,1999-03-26,a walk on the moon,drama,14000000,4741987
70,2002-01-25,a walk to remember,drama,11000000,41227069
26,2002-10-18,abandon,thriller/suspense,25000000,10719367
36,2013-02-08,abcd any body can dance,musical,1900000,222098
41,2011-09-23,abduction,thriller/suspense,35000000,28087155
45,2001-08-17,aberdeen,drama,6500000,64148
51,2002-05-17,about a boy,romantic comedy,27000000,40803000
58,2014-02-14,about last night,romantic comedy,13000000,48637684
60,2002-12-13,about schmidt,drama,30000000,65005217
63,2013-11-01,about time,romantic comedy,12000000,15323921
64,2015-01-30,above and beyond,documentary,1300000,288751
70,2012-06-22,abraham lincoln: vampire hunter,horror,67500000,37519139
82,1997-02-14,absolute power,thriller/suspense,50000000,50007168
110,1994-02-04,ace ventura: pet detective,comedy,12000000,71602138
111,1995-11-10,ace ventura: when nature calls,comedy,30000000,108344348
122,2007-09-14,across the universe,musical,45000000,24343673
126,2012-02-24,act of valor,action,12000000,70012847
128,1988-02-12,action jackson,action,7000000,20257000
138,2009-07-29,adam,drama,3200000,2277396
144,2002-12-06,adaptation,comedy,18500000,22498520
148,2014-10-10,addicted,drama,5000000,17390770
162,2013-03-22,admission,romantic comedy,13000000,18007317
164,2009-05-08,adoration,drama,4000000,294244
183,2009-04-03,adventureland,black comedy,9800000,16044025
221,2005-12-02,aeon flux,action,55000000,25857987
251,2013-05-31,after earth,action,130000000,60522097
262,2004-11-12,after the sunset,action,57000000,28328132
282,2004-02-20,against the ropes,drama,39000000,5881504
294,2003-03-14,agent cody banks,comedy,25000000,47545060
295,2004-03-12,agent cody banks 2: destination london,comedy,26000000,23514247
306,2010-05-28,agora,drama,70000000,619423
324,2000-08-11,aimée & jaguar,drama,6800000,927107
332,1997-08-01,air bud,comedy,3000000,24629916
336,1997-07-25,air force one,action,85000000,172620724
345,1980-07-04,airplane!,comedy,3500000,83453539
355,2010-02-03,ajami,drama,1000000,621859
361,2006-04-28,akeelah and the bee,drama,8000000,18848430
363,2001-04-27,akira,action,8000000,19585
365,2011-03-04,akmareul boatda,thriller/suspense,6000000,129210
371,1992-11-11,aladdin,comedy,28000000,208577270
384,2011-12-21,albert nobbs,drama,7500000,3014696
385,1997-01-17,albino alligator,drama,5000000,326308
392,2003-06-20,alex & emma,drama,30000000,14208384
394,2012-10-19,alex cross,thriller/suspense,35000000,25888412
396,2006-10-13,alex rider: operation stormbreaker,action,40000000,659210
397,2004-11-24,alexander,adventure,155000000,34297191
398,2014-10-10,alexander and the terrible horrible no good very bad day,comedy,28000000,66954149
400,1938-01-01,alexanders ragtime band,drama,2000000,4000000
404,2004-11-05,alfie,comedy,40000000,13395939
408,2001-12-25,ali,drama,109000000,58183966
418,2010-03-05,alice in wonderland,adventure,200000000,334191110
424,1979-05-25,alien,horror,9000000,80930630
425,1992-05-22,alien 3,action,55000000,52360659
434,1997-11-26,alien: resurrection,action,60000000,47748610
437,1986-07-18,aliens,action,17000000,85160248
438,2009-07-31,aliens in the attic,adventure,45000000,25200412
440,2007-12-25,aliens vs predator - requiem,action,40000000,41797066
444,1993-01-15,alive,adventure,32000000,34327309
449,2009-09-04,all about steve,romantic comedy,15000000,33862903
450,2002-03-08,all about the benjamins,comedy,14000000,25482931
458,2010-12-03,all good things,drama,20000000,582024
460,2008-01-18,all hat,comedy,4900000,15198
470,2013-10-18,all is lost,thriller/suspense,8500000,6263670
477,2002-10-25,all or nothing,drama,9000000,184255
494,2006-09-22,all the kings men,drama,55000000,7221458
500,2000-12-22,all the pretty horses,western,45000000,15527125
501,2002-10-25,all the queens men,comedy,15000000,22723
503,2003-02-14,all the real girls,drama,1000000,549666
528,2000-09-15,almost famous,comedy,60000000,32522352
538,2015-05-22,aloft,drama,8000000,53086
539,2015-05-29,aloha,drama,37000000,21052030
541,2005-01-28,alone in the dark,horror,20000000,5132655
542,2007-01-17,alone with her,thriller/suspense,1000000,10787
544,2001-04-06,along came a spider,thriller/suspense,28000000,74058698
545,2004-01-16,along came polly,romantic comedy,42000000,88073507
550,2010-09-17,alpha and omega 3d,adventure,20000000,25107267
571,2007-12-14,alvin and the chipmunks,comedy,55000000,217326974
573,2011-12-16,alvin and the chipmunks: chipwrecked,comedy,80000000,133107389
574,2015-12-18,alvin and the chipmunks: the road chip,adventure,90000000,85255691
575,2009-12-23,alvin and the chipmunks: the squeakquel,comedy,70000000,219614612
587,1984-09-19,amadeus,drama,18000000,51564280
622,2009-10-23,amelia,drama,40000000,14246488
623,2003-01-24,amen,drama,14000000,274299
639,1999-09-15,american beauty,drama,15000000,130058047
649,2001-03-16,american desi,romantic comedy,250000,902835
653,2006-04-21,american dreamz,black comedy,17000000,7156725
657,2007-11-02,american gangster,drama,100000000,130164645
663,1973-08-11,american graffiti,drama,777000,115000000
671,1998-10-30,american history x,drama,10000000,6712241
674,2013-12-13,american hustle,black comedy,40000000,150117807
688,1987-01-01,american ninja 2: the confrontation,action,350000,4000000
691,2001-08-17,american outlaws,western,35000000,13264986
693,1999-07-09,american pie,comedy,12000000,101800948
694,2001-08-10,american pie 2,comedy,30000000,145096820
703,2000-04-14,american psycho,black comedy,8000000,15047419
705,2012-04-06,american reunion,comedy,50000000,56758835
711,2014-12-25,american sniper,drama,58000000,350126372
713,2003-08-15,american splendor,drama,2000000,6003587
727,2003-08-01,american wedding,comedy,55000000,104354205
738,2001-07-20,americas sweethearts,romantic comedy,46000000,93607673
746,2011-08-19,amigo,drama,1500000,184705
749,1997-12-12,amistad,drama,40000000,44175394
761,1999-03-26,among giants,romantic comedy,4000000,64359
767,2001-03-30,amores perros,drama,2000000,5383834
770,2012-12-19,amour,drama,9700000,6738954
378,1998-02-27,an alan smithee film: burn hollywood burn,comedy,10000000,45779
643,2008-10-03,an american carol,comedy,20000000,7008265
667,2006-05-05,an american haunting,horror,14000000,16298046
112,2009-10-09,an education,drama,7500000,12574914
515,2000-12-22,an everlasting piece,comedy,4000000,75078
176,1999-06-18,an ideal husband,comedy,10700000,18542974
413,2006-05-24,an inconvenient truth,documentary,1000000,23814997
165,2005-09-09,an unfinished life,drama,30000000,8535575
800,1997-04-11,anaconda,horror,45000000,65557989
803,2004-08-27,anacondas: the hunt for the blood orchid,horror,25000000,31526393
805,2002-12-06,analyze that,comedy,60000000,32122249
806,1999-03-05,analyze this,comedy,30000000,106823373
810,1997-11-14,anastasia,musical,53000000,58297830
812,2000-09-08,anatomie,horror,2500000,9598
816,2013-12-18,anchorman 2: the legend continues,comedy,50000000,127352707
817,2004-07-09,anchorman: the legend of ron burgundy,comedy,25000000,84136909
824,2014-07-25,and so it goes,comedy,18000000,15160801
826,2007-06-01,and then came love,comedy,989000,8158
829,2008-06-06,and when did you last see your father?,drama,8000000,1071240
853,2001-05-18,angel eyes,drama,38000000,24044532
860,1999-12-24,angelas ashes,drama,25000000,13038660
862,2009-05-15,angels & demons,thriller/suspense,150000000,133375846
