movieskey,moviename,deathcount,deathcomment
1868,greenberg,2,1 unidentified drowned animal and 1 fetus
49,gremlins,132,3 people and 129 gremlins
63,gremlins 2: the new batch,325,"3 people, 322 gremlins"
1218,grim reaper,7,7
2135,grosse pointe blank,14,14
549,gummo,6,1 and 5 cats
562,half baked,2,1 horse and 1 dog
1126,halloween (1978),6,5 and a dog
259,halloween (2007),22,"20, a rat and a coyote"
1135,halloween 4: the return of michael myers,20,19 and a dog
1136,halloween 5: the revenge of michael myers,21,20 and a dog
1142,halloween h2o: 20 years later,7,7
1127,halloween ii (1981),10,10
1128,halloween ii (2009),18,"16, a cow and a dog"
1134,halloween iii: season of the witch,31,8 people and 23 robots
1129,halloween night,18,18
1137,halloween vi: the curse of michael myers,12,12
1431,halloween: dia de muertos,7,7
1143,halloween: resurrection,10,10
1780,hamlet (1996),11,11
338,hancock,1,1
951,hanna,19,18 and a reindeer
1363,hannah free,1,1
248,hannibal rising,32,"30 people, a fish and a bird"
1530,hansel & gretel get baked,8,6 people and 2 zombies
589,happy birthday to me,9,9
754,happy gilmore,3,2 and an alligator
220,hard boiled,235,235
748,hard candy,1,1
1986,hardware,586,585 and 1 Mark 13 cyborg
712,harry brown,14,14
1461,harry potter and the chamber of secrets,8,"1 snake, 1 basilisk and some mandrake roots"
1539,harry potter and the goblet of fire,4,3 and a bug
1568,harry potter and the order of the phoenix,1,1
1462,harry potter and the prisoner of azkaban,4,2 birds and 2 bats
1277,harry potter and the sorcerers stone,3,2 and a unicorn
909,hatchet,10,10
18,hatchetman,9,"7, one 1/2 dead hatchetman, and one doomed engagement"
1383,haunted house a haunted house,2,1 and a dog
1805,haunter,1,1
2020,havoc,0,0
968,haywire,8,8
144,heat,18,18
2030,heavenly creatures,1,1
1705,hedwig and the angry inch,0,0
1176,hellbent,5,5
602,hellboy,6041,"34 plus 6 Sammaels, 1 Ogdru Jahad, and thousands of Sammael eggs"
2153,hellions,9,"3 people, 5 slug children and 1 unborn slug child"
45,hellraiser ,7,6 and 1 rat
46,hellraiser ii: hellbound,33,33
52,hellraiser iii: hell on earth,178,177 people & 1 head explosion
53,hellraiser iv: bloodline,15,"12 plus 1 dove, 1 demon dog, and 1 robot (exploded)"
54,hellraiser v: inferno,9,9
55,hellraiser vi: hellseeker,5,5
65,hellraiser vii: deader,11,11
1813,henry: portrait of a serial killer,10,10
1720,her,0,0
1374,hick,3,3
1255,hide and creep,25,8 people and 17 zombies
881,hideaway,7,7
895,high art,1,1
705,high hopes ,2,2
1081,high lane,4,4
996,high life,4,4
1831,high road,0,0
1501,high school hellcats,2,2
264,high tension,6,5 and a dog
404,high times potluck,2,2
1838,highway to hell,139,"137 people, a demon and Hellcop"
154,history of violence a history of violence,13,13
1821,hit & run,0,0
1657,hitch,0,0
850,hobo with a shotgun,50,50
904,holes,9,"7, a mule and 1 yellow spotted lizard"
1225,hollow man,9,"6 people, a rat, a fly and a dog"
1232,hollow man 2,11,11
826,hollywood homicide,8,8
1227,hollywoodland,2,2
883,home fries,1,1
1115,home room,6,6
1451,home sweet home,9,9
1895,home sweet home (2013),2,2
1571,homefront,11,11
1722,honey i shrunk the kids,1,1 ant
1794,honey we shrunk ourselves,0,0
614,hook,9,9 and a coconut
66,hope floats,1,1
2027,horns,4,4
845,horrible bosses,1,1
466,horsemen,5,4 and a fetus
188,hostel,12,12
713,hostel: part ii,9,9
1022,hostel: part iii,14,13 and a cockroach
180,hot fuzz,17,17
1250,hot shots!,12,12
1272,hot shots! part deux,317,"315 people, a dog and a chicken"
970,hours,1,1
975,house,7,7
1340,house at the end of the street,5,5
50,house of 1000 corpses,15,15
1430,house of fears,9,9
606,house of the dead,128,128
986,house of yes,1,1
744,how about you,1,1
317,how high,14,1 and 13 pigeons
2068,how the grinch stole christmas,0,0
679,how to be a serial killer,28,28
838,how to kill your neighbors dog,1,1 dog
678,how to lose friends & alienate people,4,1 dog and 3 goldfish
1074,how to rob a bank,1,1
1035,hulk,8,"4, a frog and 3 gamma infected dogs"
1318,hunger,7,7
854,hunt to kill,15,15
1015,hurt,4,3 and a duckling
874,i am number four,16,"3 humans, 3 Loriens, 8 Mogadorians and 2 giant alien bat-dogs"
1350,i am omega,103,"3 people, 31 mutant creatures and a hive"
396,i know what you did last summer,15,6 and 9 crabs
394,i know who killed me,2,2
1101,i spill your guts,25,25
752,i spit on your grave (1978),4,4
753,i spit on your grave (2010),6,6
187,i think i love my wife,2,2 policemen
1840,ice age,20,"1, 18 dodos and 1 saber-toothed tiger"
214,ice age 2,4,"A turtle, 2 dinosaurs, and a dodo (bird)"
2065,icetastrophe,24,24 and a plastic snowman
2021,ichi the killer,22,22
1757,identity thief,0,0
2015,if i stay,3,3
1434,igby goes down,1,1
1203,in bruges,5,5
1842,in dreams,5,5
2150,in fear,1,1
79,in her shoes,1,1 old man
1072,in time,10,10
2044,in your eyes,0,0
635,inception,3,3
1033,incredible hulk,20,20
1297,incredible hulk returns,2,2
216,independence day,12702478,"1,702,461 humans and 11,000,017 aliens"
626,indiana jones and the last crusade,2055,"48 people, 7 birds, and 2,000 rats"
625,indiana jones and the temple of doom,532,"31 people, 8 chickens, 2 snakes, 1 mosquito and 490 other bugs"
1464,infamous (2006),6,6
471,inglourious basterds,397,397
1514,inhale,8,8
2083,inherent vice,4,4
604,insanitarium,25,24 and a cat
764,insidious,1,1
1579,insidious: chapter 2,1,1
2098,insurgent,6,6
1325,intermedio,11,9 and 2 chickens
1719,interstellar,6,6
1592,intimate affairs,0,0
1846,into the storm,7,7
1998,into the wild,11,"1 person, 1 moose, 1 fish and 8 more random animals"
1575,intolerable cruelty,2,2
594,invitation to a suicide,1,1
938,iron giant,3,2 and a deer
1804,iron golem aka iron invader aka metal shifters,8,7 and 1 alien bacteria defeated by whiskey
952,iron man,86,86
990,iron man 2,7,7
1479,iron man 3,62,62 people and 1 exploding plant
1634,it,9,8 and Pennywise
1844,it follows,3,2 people and 1 bug
1747,it runs in the family ,47,47 fish
1486,its a disaster,2,2
310,jack brooks: monster slayer,17,15 and 2 dogs
1594,jack goes boating,0,0
1397,jack reacher,18,18
1739,jack ryan: shadow recruit,14,14
701,jackie brown,4,4 bodies and 38 motherfuckers from Samuel L. Jackson
1985,jacknife,2,2
1398,jacob,15,"13, a cat and a raccoon"
1818,jailbait,3,3
148,jarhead,753,752 and a scorpion
10,jason x,250023,"250,023"
298,jaws,8,"5, 2 sharks and a dog"
637,jaws 2,8,7 people and 1 shark
638,jaws 3,8,5 plus 2 sharks and 1 fish
639,jaws 4,3,2 and a shark
1777,jay and silent bob strike back,1,1
9,jeepers creepers,8,8
1067,jeepers creepers 2,10,10
1605,jeff who lives at home jeff who lives at home,0,0
530,jennifers body,57,56 people and 1 succubus
795,jersey girl,1,1
452,jesus christ vampire hunter,46,46
1305,jesus henry christ,5,5
839,jesus son,12,"5 plus 1 rabbit, 5 premature rabbits and 1 fetus"
2073,jetsons: the movie,0,0
1043,jimmy and judy,3,3
1337,joe + belle,1,1
1117,joe dirt,7,"4, a dog, a duck and a fly"
1386,john dies at the end,10018,"13, a fly, a dog, 3 space slugs and a swarm of white parasite things"
1970,john wick,79,78 and a puppy
543,johnny mnemonic,26,26
1487,jolene,2,2
1192,jonah hex,482,482
1576,joyride,2,2
1248,judge dredd,231,231 and an ABC robot
1599,julie & jack,0,0
1629,jumanji,0,0
488,jumper,6,6 bodies and 0 motherfuckers
1623,juno,0,0
542,juno and the paycock,2,2
1974,jupiter ascending,34,"7 people, 18 aliens, 7 gargoyles and 2 gun-armed guards"
1040,jurassic park,9,"5 people, 2 dinosaurs, a goat and a bull"
1055,jurassic park iii,8,"6 people, a T-Rex and a Pterodactyl"
1914,jurassic world,35,"19 people, a pig, a goat, a bug, 1 Ankylosaurus, 6 Apatosaurus, 1 Dimorphodon, 1 Pteranondon, 3 Velociraptors and 1 Indominus Rex "
1858,just before dawn,6,6
1064,kalifornia,12,11 and a bug
1771,karla,3,3
1228,kates addiction,4,4
20,katiebird,4,4
670,kick-ass,64,64
1385,kick-ass 2,26,26
1407,kickboxer,3,3
118,kid with the golden arms,70,70
999,kidulthood,2,2
434,kill bill: volume 1,51,51
499,kill bill: volume 2,11,11
1996,kill the messenger,0,0
201,killer drag queens on dope,12,12
1442,killer elite,17,17
1199,killer joe,2,2
12,killer klowns from outer space,65,"43, plus 19 klowns, 1 dog, 1 balloon dog and a puppet"
1978,killer mermaid,9,8 and a killer mermaid
858,killers,10,10
1488,killing season,8,8
1638,killing them softly,3,3
888,killshot,4,4
1,king kong ,71,"26 with Ape. Also 3 dinosaurs, 4 T-Rexes, 35 various giant insects and 3 giant bats."
1521,king of new york,29,29
236,kingdom of heaven,1594,"1,578 and 16 horses"
1262,kinsey,1,1
1144,kiss kiss bang bang,12,12
841,knight and day,49,49
702,knowing,6785987235,All of Earth except for 2 kids and 2 rabbits
117,komodo vs cobra,19,"15, plus 1 yacht, 2 giant komodos and 1 giant cobra"
2022,kristy,10,9 and a dog
1443,krull,44,"42 people, a cyclops and a beast"
320,kung pow: enter the fist,48,"43 people, a dog, 2 moths, a big toe, a stomach plug and one French alien UFO"
1603,l!fe happens life happens,0,0
1864,la confidential,31,31
1611,labyrinth,0,0
723,lady and the tramp,1,1 rat
827,lake dead,8,8
315,lake placid,5,"2, a bear, a cow and a giant crocodile"
1886,lara croft tomb raider: the cradle of life,48,44 and 4 shadow guardians
1877,lara croft: tomb raider,11,11
2059,last hours in suburbia,1,1
1559,last kind words,4,4
240,last quarter,2,2
563,law abiding citizen,15,15
852,lawn dogs,3,2 chickens and 1 dog
72,layer cake,11,11
1082,lazarus project,5,5
2047,leatherface: the texas chainsaw massacre iii,7,6 and 1 armadillo
958,leaves of grass,7,6 and a catfish
1537,lee daniels the butler,6,6
1960,legally blonde,0,0
551,legend of the liquid sword,16,15 and a frog
1517,legends of the fall,8765,"8,763 people, 1 cow and 1 unidentified animal"
605,legion,217,172 and 45 locusts
1620,lemony snickets a series of unfortunate events,4,4
934,leprechaun,5,4 and a cricket
1896,leprechaun 2,5,5
1900,leprechaun 3,5,5
1916,leprechaun 4: in space,12,"6, an alien creature, a spider, a scorpion, a fly, a cyborg, and 1 Mittenspider"
1936,leprechaun: in the hood,11,11
1905,les misí©rables les miserables,35,35
993,less than zero,1,1
1755,let go,0,0
896,let me in,10,10
1608,let the right one in,8,8
1368,lethal weapon,28,28
1369,lethal weapon 2,28,28
1939,lets be cops,3,3
99,lets go to prison,1,1
1108,leviathan,8,"6, a spider crab and a genetic alteration"
510,licence to kill,23,"20, a starfish, 2 sharks and 2 bitches banged"
848,life as we know it,2,2
693,life blood,9,8 and a possum
2010,life of crime,1,1
1387,life of pi,328,"25, a goat, a giraffe, a camel, an ostrich, a warthog, 6 birds, 5 monkeys, an ibex, a cheetah, a hippo, 2 orangutans, a rhino, a zebra, a hyena, a rat, 2 big fish, a boatload of flying fish, 45 jellyfish, 40 fish eaten by acid and 61 meerkats"
547,lifeboat,125,124 and a baby
1173,like water for chocolate,9,8 and a baby
2117,lilo & stitch,1,1 alien cop
903,limitless,11,11
1118,lion king,22,"19 bugs, a zebra, Mufasa and Scar"
1344,little birds,1,1
1139,little bit of heaven a little bit of heaven,1,1
1516,little boy blue,5,5
1732,little miss sunshine,1,1
56,little nikita,5,5
39,little shop of horrors,3,"2 and a plant<br />(However, in the original ending that Frank Oz shot, the true body count would be 4 and no plant. Test audiences hated this ending "
439,live and let die,8,"6, a snake, a crocodile, and 3 bitches banged"
159,live free or die hard,41,41
456,lock stock and two smoking barrels,15,15
1050,lockout,533,533
925,logans run,49,48 and a robot
1865,lonely hearts,11,"8 people, 2 fetuses and a little girl"
225,long kiss goodnight,52,"50, a deer, a cricket, and Samuel L. Jackson graced us with two motherfuckers."
1390,looper,50,50
794,lord of the rings i: the fellowship of the ring,183,"102 before the title and then 72 more, plus 9 horses"
806,lord of the rings ii: the two towers,1246,"87 men, 67 elves, 1,068 orcs, 6 horses, 13 worgs, 1 ent, 1 balrog, 2 rabbits and 1 fish"
824,lord of the rings iii: the return of the king,220334,"15,107 men, 205,066 orcs, 110 trolls, 7 horses, 1 worm, 1 hobbit, 1 fish, 20 elephants, 9 Nazgul, 9 Fell Beasts, 1 giant creepy-ass spider, Sauron and Gollum"
1800,lord of war,69,69
1615,lost in translation,0,0
987,lost tribe,21,"19 people, 1 dog and 1 tribesman"
1047,lost world: jurassic park,16,"14 people, a dog and a Velociraptor"
1322,love and a 45,13,8 and 5 bugs
540,love happens,1,1
1751,love sick love,2,2
1008,love wedding marriage,1,1 fish
988,lucky,4,4
43,lucky number slevin,22,"20 people, 1 horse, and 1 apartment"
1570,lucy,44,"41, a bug, a fish and a gazelle"
514,m*a*s*h,3,3
1023,macbeth (2010),20,20
643,machete,78,77 and an unborn child
912,mad dog morgan,12,10 and 2 snakes
755,mad max,10,9 and a dog
1438,mad max 2: the road warrior,42,"39 people, a rabbit, a snake and a dog"
1441,mad max beyond thunderdome,8,7 and a horse
1207,madhouse,1,1 snake
270,madhouse,7,7
2072,madhouse (1974),8,8
275,magnolia,30000000,"8, a dog, and a whole LOT of frogs"
992,make-out with violence,5,"2 people, 2 dogs and a rat"
1121,malevolence,5,5
496,malice,2,1 and an unborn fetus
1700,mallrats,0,0
1446,mama,9,"6 people, a baby and 2 moths"
1473,man of steel,2000129220,"129,039 people, General Zod, 10 Kryptonian soldiers, 170 Kryptonian fetuses and the planet Krypton"
321,man of the house,4,4
507,man on the moon,1,1
1069,man who knew too little,4,4
1013,man who wasnt there,4,3 and a fetus
985,management,1,1
1527,maniac (1980),6,6
1494,maniac (2012),8,8
1357,manic,1,1
1214,mansfield park,1,1
550,marathon man,12,12
211,margarita happy hour,1,1
1102,margin call,1,1 dog
1832,mars attacks!,204,"122 people, 78 aliens, 2 dogs, 1 dove and 1 bird"
1090,mary and max,16,"6, 2 flies, 1 worm and 7 fish"
1246,mary horror,16,16 and an eyeball
821,mary shelleys frankenstein,12,9 and 3 dogs
1456,mask maker,12,11 and a baby
615,matilda,1,1
650,max payne,32,32
707,may,7,"5, a cat, and a creepy porcelain doll"
1922,maze runner the maze runner,17,14 and 3 Grievers
1663,me myself & irene,1,1
1950,mean creek,2,1 and a snail
1885,mean girls,0,0
1698,mean streets,1,1
1499,meet bill,1,1 duck
2001,meet the fockers,0,0
1992,meet the parents,0,0
1367,meeting evil,18,18 people and 1 motherfucker
765,mega piranha,4165,"47, plus 1 shark, 1 cruise ship, 1 navy ship, 1 nuclear submarine and 41 mega piranhas"
561,mega shark vs giant octopus,2306,"9, plus an oil rig, a whale, a plane snatched out of the air by mega shark, two U.S. navy ships, one oil tanker crew killed by pirates, one pirate crew cooked well done, 7 U.S. submarines, one Japanese submarine, one mega shark and one giant octopus"
1433,megan is missing,1,1
1258,melancholia,7021836029,"7,021,836,029"
445,memento,4,4
1010,memoirs of a geisha,2,2
918,men at work,1,1
2034,men in black,19,"5 humans, 5 aliens, 5 roaches, 1 dragonfly and 3 flies"
2035,men in black ii,11,1 human and 10 aliens
2052,men women &#38; children,0,0
194,menace ii society,8,8
1774,mental,0,0
1060,mercury rising,15,15
1175,messages deleted,6,6
141,midnight cowboy,1,1
462,milk,4,4
89,millennium,14,13 and 1 personal robot
1587,million dollar baby,1,1
1685,minority report,3,3
2064,miracle on 34th street (1947),0,0
1659,mirror mirror,0,0
230,mirror of death,3,3
1674,misery,2,2
921,miss nobody,8,8
1931,mission: impossible ii mission impossible m:i-2,280,280
1972,mission: impossible iii mission impossible ,29,29
1416,mission: impossible mission impossible,38,"7 people, a rat and 30 fish"
1038,mojave moon,1,1
809,money train,3,3
1613,moneyball,0,0
1333,monkey shines,6,"4 people, a bird and a monkey"
137,monster,4,4
44,monster house,2,1 and a monster house (More people were eaten by the monster house but at the end they magically reappeared and we had to cross them off the list.)
891,monsters vs aliens,3682,"3,601 aliens and 81 giant alient robot probes"
1847,monsturd,12,11 and 1 Shitman
473,moonraker,121,"108, 12 pheasants, 1 python and 3 bitches banged"
1292,moonrise kingdom,2,1 dog and 1 fish
1005,most high,2,2
364,motel hell,6,6
1806,mothers boys,1,1
1542,mothers day (2010),11,11
632,moulin rouge,1,1
582,mouth to mouth (2005),2,2
2097,movie 43,0,0
1598,mr & mrs smith (1941),0,0
149,mr brooks,8,8
229,mr deeds,1,1
1245,mr hush,5,4 and a vampire
13,mr jingles,17,17
1639,mr nobody,0,0
1591,mr poppers penguins,0,0
1843,mrs doubtfire,0,0
1558,mud,5,5
727,mulholland drive mulholland dr,9,9
1122,mum & dad,6,6
62,munchies,13,"2 people, 8 munchies and some tropical fish"
318,muppets from space,1,1 cat
762,murder!,1,1
41,mutant,30,29 and 1 Monte Carlo
1583,mutant species,20,"18, a bug and Walter the mutant"
812,mutant vampire zombies from the hood!,92,92
1625,my big fat greek wedding,0,0
726,my bloody valentine (1981),15,15
423,my bloody valentine (2009),31,31
1164,my little eye,5,5
1426,my own private idaho,2,2
742,my sisters keeper,2,2
840,my soul to take,9,9
172,my super ex-girlfriend,1,1 shark
1206,my year without sex,1,1 fish
183,mystery men,106,6 and a blown-up asylum
125,napoleon dynamite,1,1 cow
533,national lampoons christmas vacation,1,1 cat
2101,national lampoons dirty movie,0,0
1123,national lampoons vacation,2,Aunt Edna and the dog
357,national treasure,2,2
868,natural born killers,123,122 and a scorpion
1389,nature calls,1,1
585,near dark,15,15
916,necromentia,7,6 and a pig-faced demon
669,necropolis (1987),17,12 and 5 ghouls
1332,ned kelly,37,"31 people, 2 horses, 2 boar, a monkey and a lion"
2123,ned rifle,2,2
1855,neighbors,0,0
1076,neo ned,5,4 and a dog
163,network,2,2
1029,never let me go,3,3
484,never say never again,17,17 and 4 bitches banged
740,new moon,3,2 and 1 vampire
1734,new years eve,1,1
1191,new years evil,7,7
1362,new york i love you,1,1
1565,next,2,2
528,next day air,6,6
1636,next stop wonderland,0,0
1901,night at the museum,1,1 caveman statue
97,night of the comet,4769000095,The entire population of Earth in 1984 minus 6 people plus 2 cars
516,night of the demons,9,9
967,night of the demons (2009),7,7
1709,night of the demons 2,9,8 people and a demon
677,night of the living dead (1968),15,15
57,night of the living dead (1990),19,19
581,night of the living dead 3d,10,10
123,night train to terror,27,16 and 11 musicians
1917,night watch (aka nochnoi dozor aka nochnoy dozor),48,"46, a bug and a bird"
1853,nightcrawler,30,30
659,nights in rodanthe,1,1
1379,nine dead,10,10
813,ninja vs bruce lee,3,3
244,no country for old men,18,17 and a dog
272,no reservations,1,1
261,nobody knows,1,1
391,norikos dinner table,85,85
532,north by northwest,5,5
2154,not safe for work,11,11
1581,novocaine,2,2
1682,now and then,0,0
1641,now you see me,0,0
565,number seventeen,2,2
436,nurse betty,4,4
1788,nymphomaniac: volume 1,1,1
2057,nymphomaniac: volume ii,1,1
30,o,5,5
1410,o brother where art thou?,14,"7 people, a chicken, 2 gophers, 2 cows, a toad and a dog"
2024,observe and report,0,0
963,oceans eleven,1,1
1736,october sky,1,1
475,octopussy,97,"96 and a spider, and 2 bitches banged"
1772,oculus,4,4
1508,office space,2,1 and a fish
920,old school,3,3
825,oldboy,6,5 and an octopus
1872,oldboy (2013),39,"28 people, 1 mouse, 10 baby mice, 7 motherfuckers and 1 motherfucking"
1484,olympus has fallen,223,222 and a dog
437,on her majestys secret service,20,20 and 3 bitches banged
1555,on the inside,8,8
2005,once bitten,0,0
1789,once upon a time in america,11,11
1589,once upon a time in the west,35,33 and 2 birds
641,one flew over the cuckoos nest,2,2
973,one for the money,6,6
2144,one hour photo,0,0
1001,one last thing,1,1
1815,one true thing,1,1
476,ong-bak: the thai warrior,8,8
77,open water,3,2 whiny assholes and one underwater camera eaten by a mako shark
2104,open water 2: adrift,5,5 and an inflatable dolphin
777,orange county,1,1
573,orphan,4,3 and a pigeon
946,orphan killer,10,10
814,otis,3,3
1957,our man flint,14,"13 people, 1 fly and 1 bitch banged"
1670,out of the furnace,8, 7 and a deer
629,p2,4,3 and a dog
1146,pact,3,3
1278,pain & gain,2,2
902,paintball,10,10
1238,pandorum,2176,"2,174 and 2 grasshoppers"
977,panic in needle park,1,1 puppy
196,panic room,2,2
590,pans labyrinth,28,"22, a giant toad, 2 bugs, 2 fairies and a magic root"
576,paranormal activity,1,1
673,paranormal activity 2,3,2 and 1 bird
947,paranormal activity 3,2,2
1465,paranormal activity 4,2,2
1740,paranormal activity: the marked ones,7,7
1873,paranormal entity,2,2
1522,paranorman,2,1 and a fly
74,parents,3,3
126,party monster,3,3
179,pathfinder,243,"240, 2 horses and 1 bear"
931,paul,4,"2, a bird and a dog"
1196,paycheck,6,6
1898,peacock,1,1
757,peacock,1,1
1365,penny dreadful,5,5
2120,people like us,0,0
1476,perfect ending a perfect ending,1,1
696,perfect getaway a perfect getaway,8,7 and a goat
1861,perfect sisters,1,1
210,perfume,28,"27, 1 cat, and the biggest orgy EVER."
953,pervert!,7,5 and 2 snakes
31,pet sematary,11,"9, 1 cat and 1 mouse"
40,pet sematary ii,34,"7 people, 2 dogs (1 euthanized, 1 shot), 3 kittens, 22 rabbits, and 1 zombie rape"
116,petrified,9,"6 people and 1 alien mummy destroyed by salt like a slug. Also, one woman's hair and one FBI partner mysteriously disappeared between one scene and the next."
256,phantoms,11,10 and a dog
1773,phantoms,9,8 and a dog
831,phenomena,7,7
1073,phenomenon,1,1
1731,philadelphia,1,1
1956,phone booth,4,4
501,piccadilly,2,1 chinese homewrecking dancing biatch and 1 chinese creepy guy
1378,pieces,7,7
884,pieces of april,1,1 squirrel
1977,pieces of talent,5,5
1293,pig hunt,22,"16 people, a dog, a horse, a snake, a deer, a hog and The Ripper (a 3,000 lb hog)"
420,pineapple express,21,"19, a bug and a very large crop of marijuana"
575,pinocchios revenge,3,2 people and 1 girl doll
1733,pirate radio,0,0
133,pirates of the caribbean: at worlds end,88,88
132,pirates of the caribbean: dead mans chest,57,56 and a hermit crab
1182,pirates of the caribbean: on stranger tides,63,"56 people, 2 mermaids, 3 poisonous toads and 2 zombie pirates"
131,pirates of the caribbean: the curse of the black pearl,17,17
309,pistoleros,5,4 and a dog
1520,pitch black,63,40 and 23 aliens
1987,pitch perfect,0,0
2087,planet of the apes (1968),21,20 and 1 ape
1409,planet terror grindhouse,169,"32 people, 136 infected and a dog"
124,platoon,570,569 and a pig
1044,playing by heart,1,1
1447,pleasures of the damned,17,14 people and 3 zombies
503,point break,9,9
1921,police academy,0,0
2002,police academy 2: their first assignment,1,1 fish
2003,police academy 3: back in training,3,2 flies and 1 mosquito
2136,pootie tang,0,0
1748,popcorn,7,7
610,postal,742,"148, a baby, and all the people that died when the first plane hit the World Trade Center, including the window washer."
800,pot zombies,22,22
1850,pour elle aka anything for her,3,3
195,practical magic,4,4
1019,predator,72,"69, a scorpion, a boar and a predator"
1020,predator 2,39,38 and a predator
743,predators,19,"7 people, 4 predators, 1 bug, 6 horny alien dogs and 1 alien thing"
169,premonition,3,2 people and 1 crow
2121,preservation,7,"5, a dog and a deer"
994,pretty persuasion,1,1
450,pride and glory,11,11
945,primal,31,"7 people, 1 demonic alien fetus, 1 kangaroo, 1 bug, 1 demonic rabbit and 20 leeches"
890,primer,2,2
69,primeval,20,20
1749,prince avalanche ,4,3 fish and a squirrel
2023,prisoners,4,4
495,prizzis honor,7,7
204,prom night,7,7
1034,prometheus,18,15 plus 2 space jockeys and a giant alien squid baby (aka the original facehugger)
2054,proxy,5,"3 people, a little boy and a fetus"
1628,prozac nation,0,0
763,ps i love you,1,1
718,psycho (1960),2,2
940,psycho (1998),2,2
521,psycho santa,10,10
457,public enemies,22,22
98,puff puff pass,1,1
500,pulp fiction,7,"7, plus Sam Jackson racked up 27 motherfuckers and 1 motherfucker accessory"
59,pulse,7,6 and a plane
48,pumpkinhead,8,7 and a demon
1414,puncture,2,2
6,punisher,58,58
622,punisher: war zone,108,108
1531,punk rock holocaust,2289,"2,288 people and a robot"
1195,push,40,27 people and 13 fish
1835,pusher (2012),1,1
120,python,15,14 and 1 giant genetically-enhanced python
284,q: the winged serpent,17,"15 humans and 2 Qs. Jon further broke this down for us as follows: 4 decapitations, 1 skinning, 10 other, mostly dropped from high up. Also, all his predictions came true."
393,quantum of solace,24,23 and a fly and 1 bitch banged
491,quarantine,10,"8 people, 1 dog and 1 rat"
2051,quarantine 2: terminal,20,19 and a fetus
857,queer duck: the movie,1,1 buzzard
362,quest for camelot,2,2
1923,quid pro quo,0,0
1907,rabbit hole,0,0
1402,radioland murders,7,7
624,raiders of the lost ark,119,"55, a monkey and 63 ""impossible to count"" snakes"
1240,raising arizona,1,1
618,rambo ii,63,62 and a chicken
628,rambo iii,132,130 and 2 horses
633,rambo iv,298,"6 before the title, then 283 more plus 2 oxen, 3 fish and 4 dogs"
1279,rampage,70,70
2050,rampart,1,1
719,rear window,2,1 and a dog
663,red,16,16
1100,red dawn,107,106 and a deer
1760,red dragon,4,4
939,red riding hood,16,"13 people, 1 werewolf, 1 wolf and 1 rabbit"
866,red state,17,17
1580,red water,13,"10, 2 sharks and a fish"
1503,redemption,10,10
919,redneck zombies,15,"8 people, 6 zombies and 1 piglet"
1021,reef,4,4
285,reefer madness,3,3
330,reefer madness: the movie musical,6,5 and a fly
2067,reindeer games,10,10
271,renegade,30,28 and 2 horses
152,reno 911!: miami: the movie,7,"5 people, 1 whale, and an ice cream truck"
2099,repo men,29,29
433,repo! the genetic opera,14,14
698,requiem for a dream,1,1
388,reservoir dogs,11,11
35,resident evil,30,"21, 8 dogs and 1 licker"
373,resident evil 3: extinction,15576,"576, 3 dogs and an entire flock of demon birds"
36,resident evil: apocalypse,50120,"111, plus 1 that we almost missed because we were too busy talking about sex, 4 dogs, 3 lickers and an entire city (including 1 nemesis boyfriend)"
1045,rest stop,3,3
1098,rest stop: dont look back,7,7
8,return of the living dead: necropolis,103,103
716,return to horror high,4,4 flies
1309,return to paradise,1,1
2102,return to sender,1,1 dog
1085,return to sleepaway camp,11,5 and 6 frogs
1863,revolt of the zombies,3,3
612,rich and strange,3,2 and a cat
779,richard iii,29,29
1918,rid of me,0,0
1759,riddick,63,"9 humans, 3 Necromongers (aka Monger Lords), 1 alien bird, 2 alien jackals, 4 alien eels, 42 mud demons and 2 mud demon babies"
1560,ripd,8,8
995,rise of the planet of the apes,26,"8 people, 15 chimps, 1 gorilla, 1 orangutan and a bug"
467,rising sun,5,5
1421,road kill,4,4
509,road to perdition,23,23
347,road trip,1,1
1439,road trip: beer pong,1,1 boar
708,rob roy,26,"14, a dog, 7 cows, 2 chickens and 2 sheep"
1716,robin hood (1973),0,0
1573,robocop (1987),140,139 and 1 ED-209
1879,robocop (2014),113,"55 people, 54 EM-208's, 4 ED-209's and 1 motherfucker"
1924,robocop 2,58,58
1930,robocop 3,53,50 and 3 RoboNinjas
991,rock,23,23
843,rocknrolla,9,9
1712,rocky iii,1,1
199,rollercoaster,21,"20, plus one mad bomber killed by irony"
319,rolling kansas,4,3 ducks that looked like geese and one accidental rabbit smothering
1836,romancing the stone,5,"3, a snake and a crocodile"
296,romeo + juliet,5,5
504,romper stomper,6,6
527,ronin,33,33
110,rory oshea was here,1,1
1528,rosemarys baby,2,2
1953,rosewood lane,4,4
897,rubber,42,"36 people, 1 crow, 1 scorpion, 1 rabbit, 1 turkey, 1 spider and Robert the tire"
198,rules of engagement,97,97 and 5 motherfuckers from Samuel L. Jackson
1959,run all night,22,22
2041,run hide die,6,6
1954,run lola run,0,0
982,run! bitch run!,8,8
213,running with scissors,1,1 cat
721,sabotage (1936),58,57 and a puppy
1120,safe,82,82
1726,safe house,27,27
2055,safelight,2,2
797,salt,30,30
580,sams lake,10,10
907,sanctum,7,7
689,santas slay,33,"31, a fluffy white dog and a helldeer"
522,satan claus,9,9
14,satans little helper,16,15 and a cat
1651,saved!,0,0
