moviename,index,BoxOffice,ProductionBudget,Genre,ReleaseDate,deathcount,deathcomment
titanic,4033,658672302,200000000,thriller/suspense,12/19/1997,1534,"1,522 and 12 dogs"
clash of the titans,701,163214888,125000000,action,4/1/2010,1291,"1,281 plus 1 fish, 2 giant scorpions, 4 furies, Medusa, a djinn, and the kraken"
critters 2: the main course,,,,,,1274,"7 people, 1 bug, 1 dog, 3 cows, 1 space thing, 1261 critters and 1 alien bounty hunter"
the crazies (2010),,,,,,1266,"1,266"
the lord of the rings: the two towers,3621,342548984,94000000,adventure,12/18/2002,1246,"87 men, 67 elves, 1,068 orcs, 6 horses, 13 worgs, 1 ent, 1 balrog, 2 rabbits and 1 fish"
season of the witch,2781,24827228,40000000,thriller/suspense,1/7/2011,1171,"1,140 people, 12 wolves, 18 zombie monks and 1 demon"
the wild bunch,3963,509424,6000000,western,6/18/1969,1145,"138, 2 horses, 5 scorpions and 1,000 ants"
ghost ship,1311,30113491,20000000,horror,10/25/2002,1137,"1,137"
everything is illuminated,,,,,,1025,"1,025"
tomorrow never dies,4042,125279326,110000000,action,12/19/1997,819,819 and 2 bitches banged
jarhead,1715,62647540,72000000,drama,11/4/2005,753,752 and a scorpion
postal,,,,,,742,"148, a baby, and all the people that died when the first plane hit the World Trade Center, including the window washer."
elizabeth: the golden age,1039,16285240,55000000,drama,10/12/2007,704,704
wanted,4217,134327125,75000000,action,6/27/2008,662,"158 people, 501 rats and 3 flies"
hardware,,,,,,586,585 and 1 Mark 13 cyborg
platoon,2485,132761962,6000000,drama,12/19/1986,570,569 and a pig
dark skies,822,17418667,3500000,thriller/suspense,2/22/2013,550,3 flocks of birds
lockout,1964,14326865,20000000,thriller/suspense,4/13/2012,533,533
indiana jones and the temple of doom,1649,175083524,28000000,adventure,5/23/1984,532,"31 people, 8 chickens, 2 snakes, 1 mosquito and 490 other bugs"
southland tales,2949,275380,17000000,musical,11/14/2007,524,24 and a mega-zeppelin
aliens,179,85160248,17000000,action,7/18/1986,485,"169 humans, 156 aliens, 159 face huggers and one alien queen"
elizabeth,1038,30012990,25000000,drama,11/6/1998,482,482
jonah hex,1752,10547117,47000000,action,6/18/2010,482,482
the lego movie,3600,257784718,60000000,adventure,2/7/2014,451,"444, 1 cow, 5 horses and 1 unicorn/pegasus"
finding nemo,1165,380529370,94000000,adventure,5/30/2003,422,2 fish and 420 eggs
the expendables 2,3373,85028192,100000000,action,8/17/2012,417,417 (203 before the title)
inglourious basterds,1653,120774594,70000000,action,8/20/2009,397,397
star trek: generations,3001,75510568,38000000,adventure,11/18/1994,394,384 plus 2 Romulans and 8 Klingons
godzilla (1998),,,,,,393,"173 people, 219 Godzilla babies and Godzilla"
zulu,,,,,,372,"369 people, a cheetah, a gazelle and a cow"
