,moviename,BoxOffice,ProductionBudget,Genre,ReleaseDate,deathcount,deathcomment
100,life of pi,124987022.0,120000000.0,drama,2012-11-21,328.0,"25, a goat, a giraffe, a camel, an ostrich, a warthog, 6 birds, 5 monkeys, an ibex, a cheetah, a hippo, 2 orangutans, a rhino, a zebra, a hyena, a rat, 2 big fish, a boatload of flying fish, 45 jellyfish, 40 fish eaten by acid and 61 meerkats"
101,gremlins 2: the new batch,41476097.0,50000000.0,comedy,1990-06-15,325.0,"3 people, 322 gremlins"
102,the fifth element,63540020.0,95000000.0,action,1997-05-09,320.0,"22 humans, plus an entire space battleship, 26 mangolores, 3 mondoshawans, 17 parasites, one cockroach and one diva"
104,australia,49554002.0,130000000.0,drama,2008-11-26,313.0,"298, 10 cows, 1 horse, 2 flies, 1 kangaroo and a dog"
105,ultraviolet,18522064.0,30000000.0,action,2006-03-03,311.0,310 and an unborn child
106,the hobbit: an unexpected journey,303003568.0,250000000.0,adventure,2012-12-14,308.0,"13 men, 55 dwarves, 33 orcs, 3 trolls, a stone-giant, 185 goblins, the Goblin King, 16 wargs and a snail"
107,the invasion,15074191.0,80000000.0,thriller/suspense,2007-08-17,305.0,303 and 2 dogs
109,final destination,53302314.0,23000000.0,horror,2000-03-17,292.0,292
110,constantine,75500759.0,75000000.0,action,2005-02-18,283.0,"5 people, 15 demons, 51 half breeds, 127 cows and 85 bugs"
111,mission: impossible 2,215409889.0,120000000.0,action,2000-05-24,280.0,280
112,dune,27447471.0,45000000.0,action,1984-12-14,270.0,268 and 2 sandworms
113,die hard 2,117323878.0,70000000.0,action,1990-07-03,265.0,265
114,blade: trinity,52397389.0,65000000.0,action,2004-12-08,254.0,"195 people, 55 vampires, 3 vampire dogs and Dracula"
119,judge dredd,34687912.0,85000000.0,action,1995-06-30,231.0,231 and an ABC robot
121,olympus has fallen,98927592.0,70000000.0,thriller/suspense,2013-03-22,223.0,222 and a dog
123,legion,40122938.0,26000000.0,thriller/suspense,2010-01-22,217.0,172 and 45 locusts
124,mars attacks!,37754208.0,80000000.0,comedy,1996-12-13,204.0,"122 people, 78 aliens, 2 dogs, 1 dove and 1 bird"
125,slither,7802450.0,15250000.0,horror,2006-03-31,201.0,"97 people, 77 alien slugs, 11 dogs, 8 cats, 3 coyotes, 2 cows, a mare, a possum and a deer"
126,serenity,25335935.0,39000000.0,action,2005-09-30,197.0,196 and a bug
128,equilibrium,1190018.0,20000000.0,action,2002-12-06,187.0,180 people and 7 dogs
129,the lord of the rings: the fellowship of the ring,315544750.0,109000000.0,adventure,2001-12-19,183.0,"102 before the title and then 72 more, plus 9 horses"
130,avatar,760507625.0,425000000.0,action,2009-12-18,181.0,"69 humans, 74 Nav'i, 4 hairless tar dogs, 1 blue deer-thing, 2 avatars, 17 6-legged blue horses, 13 banshees and 1 giant panther dragon."
134,cloud atlas,27108272.0,102000000.0,drama,2012-10-26,169.0,168 and a dog
137,30 days of night,39568996.0,30000000.0,horror,2007-10-19,165.0,"146 people, 12 vampires and 7 dogs"
138,the expendables,103068524.0,82000000.0,action,2010-08-13,165.0,165
142,gi joe: the rise of cobra,150201498.0,175000000.0,action,2009-08-07,149.0,149
143,zombieland,75590286.0,23600000.0,comedy,2009-10-02,149.0,148 plus Bill Murray
144,thor,181030624.0,150000000.0,action,2011-05-06,148.0,"146, 1 Giant Ice Monster and 1 Destroyer"
145,aliens vs predator - requiem,41797066.0,40000000.0,action,2007-12-25,142.0,"84 people, 4 unborn children, 24 aliens, 4 predators, 5 face huggers, 1 pralien and 20 baby praliens "
148,star wars ep v: the empire strikes back,290158751.0,23000000.0,adventure,1980-05-21,136.0,"38, 2 tauntauns, 1 probe droid, 2 AT-AT Imperial Walkers, 4 TIE fighters and one mynock"
149,carrie,25878153.0,1800000.0,horror,1976-11-16,135.0,134 and a pig
150,gremlins,148117285.0,11000000.0,comedy,1984-06-08,132.0,3 people and 129 gremlins
151,rambo iii,53715611.0,58000000.0,action,1988-05-25,132.0,130 and 2 horses
153,cowboys and aliens,100240551.0,163000000.0,action,2011-07-29,130.0,"35 people, 11 horses, 44 cows and 40 aliens"
156,the house of the dead,10199354.0,7000000.0,horror,2003-10-10,128.0,128
159,moonraker,70300000.0,31000000.0,action,1979-06-29,121.0,"108, 12 pheasants, 1 python and 3 bitches banged"
160,raiders of the lost ark,248159971.0,20000000.0,adventure,1981-06-12,119.0,"55, a monkey and 63 ""impossible to count"" snakes"
161,day of the dead,5804262.0,3500000.0,horror,1985-07-03,118.0,117 and one zombie boyfriend
162,snakes on a plane,34020814.0,33000000.0,thriller/suspense,2006-08-18,118.0,"62 people, 54 snakes, 1 cat and 1 dog. Also, Samuel L. Jackson said motherfucker/ing five times."
163,the watch,34353000.0,55000000.0,comedy,2012-07-27,117.0,"4 people, a cow, and 112 aliens"
165,the dark knight rises,448139099.0,275000000.0,action,2012-07-20,112.0,111 plus Bane
166,the spy who loved me,46800000.0,14000000.0,action,1977-07-13,111.0,"44, a fish, a shark and two submarines full of guys in orange jumpsuits. Oh, and two bitches banged"
167,dreamcatcher,33685268.0,68000000.0,drama,2003-03-21,108.0,"14 people, 1 dog, 1 deer, 29 giant alien ass penis monsters, 3 alien ass worms, 19 alien ass worm babies, 40 alien ass worm eggs and 1 Duddits"
168,punisher: war zone,8050977.0,35000000.0,action,2008-12-05,108.0,108
169,the prestige,53089891.0,40000000.0,thriller/suspense,2006-10-20,108.0,105 and 3 birds
170,red dawn,44806783.0,65000000.0,action,2012-11-21,107.0,106 and a deer
171,mystery men,29762011.0,68000000.0,comedy,1999-08-06,106.0,6 and a blown-up asylum
172,the simpsons movie,183135014.0,72500000.0,comedy,2007-07-27,106.0,"2, plus all 3 members of Green Day, 77 fish and 24 swallows"
173,captain america: the first avenger,176654505.0,140000000.0,action,2011-07-22,105.0,105
175,bram stokers dracula,78142084.0,40000000.0,horror,1992-11-13,103.0,"95, 1 worm, 1 baby, 1 horse, and 5 vampires"
176,dances with wolves,175293948.0,19000000.0,western,1990-11-09,103.0,"52 people, 2 dogs, 41 buffalo, 7 horses and a wolf"
181,octopussy,62440579.0,27500000.0,action,1983-06-10,97.0,"96 and a spider, and 2 bitches banged"
182,rules of engagement,61322858.0,60000000.0,thriller/suspense,2000-04-07,97.0,97 and 5 motherfuckers from Samuel L. Jackson
183,star trek iii: the search for spock,71273785.0,18000000.0,adventure,1984-06-01,97.0,95 plus 1 space-snake alien life form and 1 Klingon spacedog
185,the running man,37743350.0,30000000.0,action,1987-11-13,96.0,"18 before the opening titles ended, 60 innocent men, women & children, 4 stalkers and then 14 more people"
187,district 9,115646235.0,30000000.0,thriller/suspense,2009-08-14,95.0,"48, a little alien dog, and 46 alien eggs"
188,gangs of new york,77730500.0,97000000.0,drama,2002-12-20,95.0,94 and a rat
189,tank girl,3817132.0,25000000.0,action,1995-03-01,95.0,"93 people, 1 Ripper and a yak"
190,final destination 5,42587643.0,40000000.0,horror,2011-08-12,94.0,94
191,from dusk till dawn,25728961.0,20000000.0,horror,1996-01-19,94.0,23 humans and 71 vampires
