,moviename,BoxOffice,ProductionBudget,Genre,ReleaseDate,deathcount,deathcomment
463,die another day,160932247.0,142000000.0,action,2002-11-22,24.0,24 and 2 bitches banged
464,domino,10169202.0,50000000.0,action,2005-10-14,24.0,22 and 2 goldfish
466,quantum of solace,169368427.0,230000000.0,action,2008-11-14,24.0,23 and a fly and 1 bitch banged
468,the incredibles,261441092.0,92000000.0,adventure,2004-11-05,24.0,"17, 5 bugs and 2 Omnidroid robots"
471,crank,27838408.0,12000000.0,action,2006-09-01,23.0,22 and a bird
472,dark shadows,79727149.0,150000000.0,black comedy,2012-05-11,23.0,"21 people, a witch and a dog"
474,die hard,80639179.0,28000000.0,action,1988-07-15,23.0,23
475,from russia with love,24800000.0,2000000.0,action,1964-04-08,23.0,"22, 1 siamese fighting fish, and 2 bitches banged"
476,licence to kill,33197509.0,42000000.0,action,1989-07-14,23.0,"20, a starfish, 2 sharks and 2 bitches banged"
477,the road to perdition,104054514.0,80000000.0,drama,2002-07-12,23.0,23
479,the croods,187168425.0,135000000.0,adventure,2012-10-01,23.0,"17, a ram bird egg, a land whale, a mammoth, a scorpion, a bird crocodile and a giant flying bug"
483,assault on precinct 13,20040895.0,30000000.0,action,2005-01-19,22.0,22
485,casino,42388160.0,52000000.0,drama,1995-11-22,22.0,22
488,elektra,24409722.0,65000000.0,action,2005-01-14,22.0,22
491,friday the 13th part viii: jason takes manhattan,14343976.0,5000000.0,horror,1989-07-28,22.0,22
495,the lion king,422780140.0,79300000.0,adventure,1994-06-15,22.0,"19 bugs, a zebra, Mufasa and Scar"
496,lucky number slevin,22495466.0,27000000.0,thriller/suspense,2006-04-07,22.0,"20 people, 1 horse, and 1 apartment"
499,public enemies,97104620.0,102500000.0,drama,2009-07-01,22.0,22
500,run all night,26461644.0,50000000.0,action,2015-03-13,22.0,22
501,tales from the crypt: demon knight,20943520.0,12000000.0,horror,1995-01-13,22.0,12 and 10 demons
502,the equalizer,101530738.0,55000000.0,action,2014-09-26,22.0,22
503,the living daylights,50096813.0,40000000.0,action,1987-07-31,22.0,22 and 2 bitches banged
504,this means war,54760791.0,65000000.0,romantic comedy,2012-02-17,22.0,22
505,three kings,60652036.0,48000000.0,action,1999-10-01,22.0,21 and a cow
506,tomorrowland,93436322.0,170000000.0,adventure,2015-05-22,22.0,"5 people, 16 AA units and 1 bird"
508,bad boys,65637842.0,23000000.0,action,1995-04-07,21.0,21
509,coraline,75286229.0,60000000.0,adventure,2009-02-06,21.0,"8 bugs, 2 rats, 1 cocoa beetle, 2 taffy sisters, 6 dog bats, 1 spider hand and 1 Other Dad"
511,halloween 5: the revenge of michael myers,11642254.0,6000000.0,horror,1989-10-13,21.0,20 and a dog
513,the pineapple express,87341380.0,26000000.0,comedy,2008-08-06,21.0,"19, a bug and a very large crop of marijuana"
514,planet of the apes,180011740.0,100000000.0,adventure,2001-07-27,21.0,20 and 1 ape
517,scary movie 4,90710620.0,40000000.0,comedy,2006-04-14,21.0,21
518,snatch,30093107.0,10000000.0,black comedy,2000-12-08,21.0,21
527,halloween 4: the return of michael myers,16634499.0,5000000.0,horror,1988-10-01,20.0,19 and a dog
528,ice age,176387405.0,65000000.0,adventure,2002-03-15,20.0,"1, 18 dodos and 1 saber-toothed tiger"
529,the incredible hulk,134533885.0,137500000.0,adventure,2008-06-13,20.0,20
532,on her majestys secret service,22800000.0,8000000.0,action,1969-12-18,20.0,20 and 3 bitches banged
536,swat,116877597.0,70000000.0,action,2003-08-08,20.0,20 and 0 motherfuckers
537,taken,145000989.0,25000000.0,thriller/suspense,2009-01-30,20.0,20
539,the departed,132384315.0,90000000.0,drama,2006-10-06,20.0,19 and a fly
540,the devils rejects,17044981.0,7000000.0,horror,2005-07-22,20.0,20
541,the ice pirates,13075390.0,9000000.0,comedy,1984-03-16,20.0,"10 humans, 1 frog lady and 9 robots"
544,true romance,12281000.0,12500000.0,thriller/suspense,1993-09-10,20.0,20
547,the bourne legacy,113203870.0,125000000.0,thriller/suspense,2012-08-10,19.0,"16 people, a wolf, a fox and an elk"
548,cabin fever,21158188.0,1500000.0,horror,2003-09-12,19.0,"16 people, a pig, a dog and a deer"
553,friday the 13th part v: a new beginning,20674880.0,2200000.0,horror,1985-03-22,19.0,19
554,hanna,40259119.0,30000000.0,drama,2011-04-08,19.0,18 and a reindeer
556,men in black,250147615.0,90000000.0,adventure,1997-07-01,19.0,"5 humans, 5 aliens, 5 roaches, 1 dragonfly and 3 flies"
557,night of the living dead,12000000.0,114000.0,horror,1968-10-01,19.0,19
558,predators,52000688.0,40000000.0,action,2010-07-09,19.0,"7 people, 4 predators, 1 bug, 6 horny alien dogs and 1 alien thing"
559,spaceballs,36725144.0,22700000.0,comedy,1987-06-24,19.0,19
560,species,60000401.0,35000000.0,action,1995-07-07,19.0,"14 people , 2 rats, 1 alien life form and 2 alien-human hybrids"
561,spider-man,403706375.0,139000000.0,adventure,2002-05-03,19.0,19
562,super,324138.0,2500000.0,black comedy,2011-04-01,19.0,19
563,the cold light of day,3763583.0,20000000.0,thriller/suspense,2012-09-07,19.0,19
564,the godfather,134821952.0,7000000.0,drama,1972-03-15,19.0,18 and a horse
566,the hurt locker,17017811.0,15000000.0,drama,2009-06-26,19.0,18 and a fly
567,the purge,64473115.0,3000000.0,thriller/suspense,2013-06-07,19.0,19
569,winters tale,12600231.0,60000000.0,drama,2014-02-14,19.0,19
572,creepshow,20036244.0,8000000.0,horror,1982-11-10,18.0,10 and 8 bugs
573,friday the 13th part vi: jason lives,17834917.0,3000000.0,horror,1986-08-01,18.0,17 (including a 3-for-one decapitation) and 1 bug
577,jack reacher,80070736.0,60000000.0,drama,2012-12-21,18.0,18
579,no country for old men,74273505.0,25000000.0,action,2007-11-09,18.0,17 and a dog
580,prometheus,126477084.0,125000000.0,adventure,2012-06-08,18.0,15 plus 2 space jockeys and a giant alien squid baby (aka the original facehugger)
584,taken 3,89256424.0,48000000.0,action,2015-01-09,18.0,18
586,the jackal,54910560.0,60000000.0,thriller/suspense,1997-11-14,18.0,18
590,aqua teen hunger force colon movie film for theaters,5520368.0,750000.0,comedy,2007-04-13,17.0,"2 people, 2 cats, 9 chocolate unicorns, 1 fly, 1 Insanoflex, 1 caterpillar and Chicken Bittle"
592,beerfest,19185184.0,17500000.0,comedy,2006-08-25,17.0,"4, a trophy, a deer, and a batch of monkey-frogs"
598,feast,56131.0,3200000.0,horror,2006-09-22,17.0,"11 plus 3 monsters, 2 baby monsters and a monster cock"
599,forrest gump,330151138.0,55000000.0,drama,1994-07-06,17.0,"13 plus Elvis, JFK, Bobby Kennedy, and John Lennon"
600,gosford park,41300105.0,18000000.0,comedy,2001-12-26,17.0,1 person and 16 birds
601,hot fuzz,23618786.0,16000000.0,comedy,2007-04-20,17.0,17
603,killer elite,25124986.0,70000000.0,action,2011-09-23,17.0,17
604,the maze runner,102427862.0,34000000.0,thriller/suspense,2014-09-19,17.0,14 and 3 Grievers
607,never say never again,55432841.0,36000000.0,action,1983-10-07,17.0,17 and 4 bitches banged
608,pirates of the caribbean: the curse of the black pearl,305411224.0,125000000.0,adventure,2003-07-09,17.0,17
611,red state,1065429.0,4000000.0,horror,2011-03-05,17.0,17
612,scary movie,157019771.0,19000000.0,comedy,2000-07-07,17.0,17
614,stardust,38373235.0,70000000.0,adventure,2007-08-10,17.0,"8 plus 4 witches, 1 star, 1 ferret, 1 small alligator, 1 goat and 1 unicorn"
616,the descent,26024456.0,7000000.0,thriller/suspense,2006-08-04,17.0,"7, plus 10 mutant-things"
618,the mechanic,29121498.0,42500000.0,action,2011-01-28,17.0,17
619,midnight meat train,73548.0,15000000.0,thriller/suspense,2008-08-01,17.0,17
621,transcendence,23022309.0,100000000.0,thriller/suspense,2014-04-18,17.0,17
622,a million ways to die in the west,42720965.0,40000000.0,comedy,2014-05-30,16.0,16
624,brooklyns finest,27163593.0,17000000.0,thriller/suspense,2010-03-05,16.0,16
628,die hard: with a vengeance,99983259.0,90000000.0,action,1995-05-19,16.0,16 plus 5 motherfuckers from Samuel L. Jackson
629,formula 51,5204007.0,27000000.0,action,2002-10-18,16.0,"15 and 1 exploded Meatloaf, plus Samuel L. Jackson said motherfucker 5 times."
630,friday the 13th part vii: the new blood,19170001.0,2800000.0,horror,1988-05-13,16.0,16
631,i am number four,55100437.0,50000000.0,adventure,2011-02-18,16.0,"3 humans, 3 Loriens, 8 Mogadorians and 2 giant alien bat-dogs"
633,the lost world: jurassic park,229074524.0,75000000.0,action,1997-05-22,16.0,"14 people, a dog and a Velociraptor"
636,red,90380162.0,60000000.0,action,2010-10-15,16.0,16
637,red riding hood,37662162.0,42000000.0,thriller/suspense,2011-03-11,16.0,"13 people, 1 werewolf, 1 wolf and 1 rabbit"
639,snitch,42930462.0,15000000.0,thriller/suspense,2013-02-22,16.0,16
642,the international,25450527.0,50000000.0,thriller/suspense,2009-02-13,16.0,16
643,the way of the gun,6047856.0,9000000.0,action,2000-09-08,16.0,16
646,angels & demons,133375846.0,150000000.0,thriller/suspense,2009-05-15,15.0,15
647,batman forever,183997904.0,100000000.0,action,1995-06-16,15.0,15
648,collateral,100170152.0,60000000.0,action,2004-08-06,15.0,15
652,gi jane,48154732.0,50000000.0,drama,1997-08-22,15.0,15
654,house of 1000 corpses,12583510.0,7000000.0,horror,2003-04-11,15.0,15
656,i know what you did last summer,72219395.0,17000000.0,horror,1997-10-17,15.0,6 and 9 crabs
658,law abiding citizen,73357727.0,53000000.0,thriller/suspense,2009-10-16,15.0,15
659,lock stock and two smoking barrels,3714067.0,1350000.0,black comedy,1999-03-05,15.0,15
660,mercury rising,32940507.0,60000000.0,thriller/suspense,1998-04-03,15.0,15
663,night of the living dead,5835247.0,4200000.0,horror,1990-10-19,15.0,15
666,scary movie 3,110000082.0,45000000.0,comedy,2003-10-24,15.0,12 and 3 aliens
670,things to do in denver when youre dead,529766.0,15000000.0,black comedy,1995-12-01,15.0,15
672,creepshow 2,14000000.0,3500000.0,horror,1987-05-01,14.0,13 and a duck
677,final destination 3,54098051.0,25000000.0,horror,2006-02-10,14.0,11 plus 2 fried bitches and a pigeon
678,four brothers,74494381.0,30000000.0,drama,2005-08-12,14.0,14
679,friday the 13th part iv: the final chapter,30393007.0,2600000.0,horror,1984-04-13,14.0,14
680,get smart,130319208.0,80000000.0,comedy,2008-06-20,14.0,13 and a robot fly
681,grosse pointe blank,28073151.0,15000000.0,black comedy,1997-04-11,14.0,14
682,harry brown,1818681.0,7300000.0,thriller/suspense,2010-04-30,14.0,14
683,hostel: part ii,17544812.0,7500000.0,horror,2007-06-08,14.0,13 and a cockroach
684,how high,31155435.0,12000000.0,comedy,2001-12-21,14.0,1 and 13 pigeons
685,jack ryan: shadow recruit,50577412.0,60000000.0,action,2014-01-17,14.0,14
687,o brother where art thou?,45506619.0,26000000.0,comedy,2000-12-22,14.0,"7 people, a chicken, 2 gophers, 2 cows, a toad and a dog"
689,repo! the genetic opera,140244.0,8500000.0,musical,2008-11-07,14.0,14
691,seven psychopaths,15024049.0,13500000.0,comedy,2012-10-12,14.0,14
695,texas chainsaw 3d,34341945.0,20000000.0,horror,2013-01-04,14.0,14
697,the hateful eight,53688739.0,62000000.0,western,2015-12-25,14.0,14 people and 2 motherfuckers
698,the lost boys,30331685.0,8500000.0,horror,1987-07-31,14.0,9 humans and 5 vampires
701,true grit,171050328.0,35000000.0,western,2010-12-22,14.0,11 and 3 horses
702,tucker & dale vs evil,223838.0,5000000.0,black comedy,2011-09-30,14.0,14
703,appaloosa,20211394.0,20000000.0,western,2008-09-19,13.0,11 and 2 horses
705,batman & robin,107308328.0,125000000.0,action,1997-06-20,13.0,13
708,club dread,5001655.0,8500000.0,comedy,2004-02-27,13.0,"3 before the credits, then 10 more. And 2 quotes."
709,confessions of a dangerous mind,16003576.0,29000000.0,drama,2002-12-31,13.0,13
711,derailed,36020063.0,22000000.0,action,2005-11-11,13.0,13
716,enemy of the state,111544445.0,85000000.0,action,1998-11-20,13.0,13
717,fido,298110.0,8000000.0,horror,2007-06-15,13.0,13
719,friday the 13th part 3,33985198.0,2250000.0,horror,1982-08-13,13.0,12 and an unborn baby
720,a history of violence,31493782.0,32000000.0,drama,2005-09-23,13.0,13
727,surrogates,38577772.0,80000000.0,action,2009-09-25,13.0,13
728,terminator 2: judgment day,201858746.0,100000000.0,action,1991-07-02,13.0,"10, 1 flying machine and 2 terminators"
729,the andromeda strain,12376563.0,6500000.0,thriller/suspense,1971-01-01,13.0,"3 people, 6 birds, 3 rats and a monkey"
730,the french connection,41158757.0,2200000.0,drama,1971-10-09,13.0,13
731,the life aquatic with steve zissou,24006726.0,50000000.0,comedy,2004-12-10,13.0,"11, 1 research turtle and 1 rhinestone bluefin"
737,blood and chocolate,3526588.0,15000000.0,horror,2007-01-26,12.0,12
741,darkness falls,32539681.0,7000000.0,horror,2003-01-24,12.0,11 and an evil tooth fairy ghost bitch
744,edge of darkness,43313890.0,60000000.0,drama,2010-01-29,12.0,12
748,halloween: the curse of michael myers,15106362.0,5000000.0,horror,1995-09-29,12.0,12
749,hostel,47326473.0,4800000.0,horror,2006-01-06,12.0,12
751,jesus son,1282084.0,2500000.0,drama,2000-06-16,12.0,"5 plus 1 rabbit, 5 premature rabbits and 1 fetus"
754,kiss kiss bang bang,4235837.0,15000000.0,comedy,2005-10-21,12.0,12
761,saw vi,27693292.0,11000000.0,horror,2009-10-23,12.0,12
762,scream 4,38180928.0,40000000.0,horror,2011-04-15,12.0,12
763,seed of chucky,17016190.0,29000000.0,horror,2004-11-12,12.0,10 and 2 dolls
767,street kings,26415649.0,20000000.0,thriller/suspense,2008-04-11,12.0,12
768,tarzan,171091819.0,145000000.0,adventure,1999-06-16,12.0,"3 people, 1 gorilla, 1 gorilla baby, 1 leopard and 6 bugs"
772,the grand budapest hotel,59076019.0,31000000.0,comedy,2014-03-07,12.0,11 and a cat
775,the watcher,28946615.0,33000000.0,thriller/suspense,2000-09-08,12.0,12
776,there will be blood,40222514.0,25000000.0,drama,2007-12-26,12.0,5 and 7 quail
779,a nightmare on elm street part 2: freddys revenge,21163999.0,3000000.0,horror,1985-11-01,11.0,"4, plus 2 birds, 1 rat and 4 fish"
782,changeling,35739802.0,55000000.0,thriller/suspense,2008-10-24,11.0,11
785,daredevil,102543518.0,80000000.0,action,2003-02-14,11.0,10 and a fly
786,date movie,48548426.0,20000000.0,comedy,2006-02-17,11.0,10 people and a rat
789,dr no,16067035.0,1000000.0,action,1963-05-08,11.0,"10 and a huge fucking venomous spider, plus 3 bitches banged"
790,friday the 13th,39754601.0,550000.0,horror,1980-05-09,11.0,10 and a snake
794,homefront,20158492.0,22000000.0,action,2013-11-27,11.0,11
796,into the wild,18354356.0,20000000.0,drama,2007-09-21,11.0,"1 person, 1 moose, 1 fish and 8 more random animals"
797,kill bill: volume 2,66207920.0,55000000.0,action,2004-04-16,11.0,11
798,lara croft: tomb raider,131144183.0,94000000.0,adventure,2001-06-15,11.0,11
799,layer cake,2338695.0,6500000.0,thriller/suspense,2005-05-13,11.0,11
801,limitless,79249455.0,27000000.0,thriller/suspense,2011-03-18,11.0,11
803,men in black 2,190418803.0,140000000.0,action,2002-07-03,11.0,1 human and 10 aliens
806,once upon a time in america,5321508.0,30000000.0,drama,1984-06-01,11.0,11
807,pet sematary,52795778.0,11500000.0,horror,1989-04-21,11.0,"9, 1 cat and 1 mouse"
809,pride and glory,15740721.0,30000000.0,drama,2008-10-24,11.0,11
818,the grudge,110175871.0,10000000.0,horror,2004-10-22,11.0,10 and a cat
819,the killer inside me,217277.0,13000000.0,drama,2010-06-18,11.0,11
820,the texas chainsaw massacre: the beginning,39517763.0,16000000.0,horror,2006-10-06,11.0,10 and a cow
821,venom,881745.0,25000000.0,horror,2005-09-16,11.0,11
822,across the universe,24343673.0,45000000.0,musical,2007-09-14,10.0,"9 and Martin Luther King, Jr."
823,airplane!,83453539.0,3500000.0,comedy,1980-07-04,10.0,10
826,bride of chucky,32368960.0,25000000.0,horror,1998-10-16,10.0,"8 and 1 and 1/2 dolls. Also, one killer baby doll was spewed."
828,childs play,31605639.0,9000000.0,horror,1988-11-09,10.0,5 and 5 rats
829,cop out,44875481.0,37000000.0,comedy,2010-02-26,10.0,10
831,drive,35060689.0,15000000.0,action,2011-09-16,10.0,10
834,fright night,18298649.0,30000000.0,horror,2011-08-19,10.0,5 and 5 vampires
836,goodfellas,46261759.0,25000000.0,drama,1990-09-19,10.0,10
838,halloween: resurrection,30259652.0,15000000.0,horror,2002-07-12,10.0,10
839,hatchet,175281.0,1500000.0,horror,2007-09-07,10.0,10
841,in time,37553932.0,35000000.0,thriller/suspense,2011-10-28,10.0,10
842,jeepers creepers ii,35623801.0,25000000.0,horror,2003-08-29,10.0,10
843,killers,47059963.0,75000000.0,action,2010-06-04,10.0,10
845,let me in,12134935.0,20000000.0,thriller/suspense,2010-10-01,10.0,10
846,mad max,8750000.0,200000.0,action,1980-03-21,10.0,9 and a dog
852,quarantine,31691811.0,12000000.0,horror,2008-10-10,10.0,"8 people, 1 dog and 1 rat"
853,redemption,36686.0,23000000.0,thriller/suspense,2013-06-28,10.0,10
854,reindeer games,23360779.0,36000000.0,action,2000-02-25,10.0,10
856,scream 2,101334374.0,24000000.0,horror,1997-12-12,10.0,10
857,scream 3,89138076.0,40000000.0,horror,2000-02-04,10.0,10
860,stay alive,23086480.0,20000000.0,horror,2006-03-24,10.0,9 and a vampire
861,superman ii,101347629.0,54000000.0,adventure,1981-06-19,10.0,9 and a snake
862,syriana,50824620.0,50000000.0,thriller/suspense,2005-11-23,10.0,10
863,the craft,24703049.0,15000000.0,thriller/suspense,1996-05-03,10.0,3 and 7 sharks
867,the switch,27758465.0,19000000.0,romantic comedy,2010-08-20,10.0,A headful of lice
872,turistas,7027762.0,10000000.0,thriller/suspense,2006-12-01,10.0,10
873,unknown,63686397.0,40000000.0,thriller/suspense,2011-02-18,10.0,9 people and 2 taxis
874,whiteout,10275638.0,35000000.0,thriller/suspense,2009-09-11,10.0,10
877,adaptation,22498520.0,18500000.0,comedy,2002-12-06,9.0,6 and 3 dinosaurs
879,boogie nights,26384919.0,15000000.0,drama,1997-10-10,9.0,9
880,the bourne identity,121468960.0,60000000.0,thriller/suspense,2002-06-14,9.0,8 and a dog
881,the bourne supremacy,176087450.0,85000000.0,thriller/suspense,2004-07-23,9.0,9
882,cast away,233632142.0,85000000.0,drama,2000-12-22,9.0,"4 people, 2 crabs, 2 fish, and 1 volleyball (WILSON!!)"
886,friday the 13th part 2,21722776.0,1250000.0,horror,1981-04-30,9.0,9
892,holes,67383924.0,20000000.0,drama,2003-04-18,9.0,"7, a mule and 1 yellow spotted lizard"
893,hollow man,73209340.0,90000000.0,horror,2000-08-04,9.0,"6 people, a rat, a fly and a dog"
895,hook,109921554.0,70000000.0,adventure,1991-12-11,9.0,9 and a coconut
896,hostel: part ii,17544812.0,7500000.0,horror,2007-06-08,9.0,9
899,jurassic park,395708305.0,63000000.0,action,1993-06-11,9.0,"5 people, 2 dinosaurs, a goat and a bull"
903,mama,71628180.0,15000000.0,horror,2013-01-18,9.0,"6 people, a baby and 2 moths"
904,mulholland drive,7219578.0,15000000.0,drama,2001-10-08,9.0,9
905,my soul to take,14744435.0,25000000.0,horror,2010-10-08,9.0,9
910,point break,43218387.0,24000000.0,action,1991-07-12,9.0,9
911,rocknrolla,5700626.0,18000000.0,action,2008-10-08,9.0,9
913,saw ii,87025093.0,5000000.0,horror,2005-10-28,9.0,9
914,saw ii,87025093.0,5000000.0,horror,2005-10-28,9.0,9
915,saw iv,63300095.0,10000000.0,horror,2007-10-26,9.0,9
918,super 8,127004179.0,50000000.0,thriller/suspense,2011-06-09,9.0,9
920,the american,35606376.0,20000000.0,thriller/suspense,2010-09-01,9.0,9
921,the cave,14888028.0,30000000.0,horror,2005-08-26,9.0,6 and 3 cave creatures
926,the hangover part ii,254464305.0,80000000.0,comedy,2011-05-26,9.0,"4 people, 2 chickens, 2 dogs and a giraffe"
927,the imaginarium of doctor parnassus,7689607.0,30000000.0,adventure,2009-12-25,9.0,"6, 2 flies and a chicken"
929,the raven,16008272.0,26000000.0,thriller/suspense,2012-04-27,9.0,8 and a raven
934,who framed roger rabbit?,151931137.0,70000000.0,comedy,1988-06-22,9.0,2 people and 7 toons
938,wristcutters: a love story,446165.0,1000000.0,comedy,2007-10-19,9.0,9
940,2001: a space odyssey,56700000.0,10500000.0,adventure,1968-04-02,8.0,"4 astronauts, 2 man-apes, 1 tapir and 1 sentient artificial intelligence "
942,albino alligator,326308.0,5000000.0,drama,1997-01-17,8.0,8
943,alien,80930630.0,9000000.0,horror,1979-05-25,8.0,"5, an android, an alien and a face hugger"
946,brick,2075743.0,450000.0,drama,2006-03-31,8.0,7 and a fetus
951,childs play 2,25459435.0,13000000.0,horror,1990-11-09,8.0,7 and a doll
955,cop land,44810734.0,15000000.0,drama,1997-08-15,8.0,8
958,deadfall,66351.0,6000000.0,thriller/suspense,2012-12-07,8.0,7 and a deer
964,from hell,31598308.0,35000000.0,thriller/suspense,2001-10-19,8.0,8
967,harry potter and the chamber of secrets,261987880.0,100000000.0,adventure,2002-11-15,8.0,"1 snake, 1 basilisk and some mandrake roots"
968,haywire,18942396.0,23000000.0,thriller/suspense,2012-01-20,8.0,8
969,hollywood homicide,30207785.0,75000000.0,action,2003-06-13,8.0,8
970,hulk,132177234.0,137000000.0,action,2003-06-20,8.0,"4, a frog and 3 gamma infected dogs"
973,jaws,260000000.0,12000000.0,horror,1975-06-20,8.0,"5, 2 sharks and a dog"
974,jaws 2,102922376.0,20000000.0,horror,1978-06-16,8.0,7 people and 1 shark
976,jeepers creepers,37904175.0,10000000.0,horror,2001-08-31,8.0,8
977,jurassic park iii,181166115.0,93000000.0,action,2001-07-18,8.0,"6 people, a T-Rex and a Pterodactyl"
982,live and let die,35400000.0,7000000.0,action,1973-06-27,8.0,"6, a snake, a crocodile, and 3 bitches banged"
983,mad max beyond thunderdome,36230219.0,10000000.0,action,1985-07-10,8.0,7 and a horse
986,menace ii society,27731527.0,3500000.0,action,1993-05-26,8.0,8
991,out of the furnace,11330849.0,22000000.0,drama,2013-12-04,8.0, 7 and a deer
992,a perfect getaway,15515460.0,14000000.0,thriller/suspense,2009-08-07,8.0,7 and a goat
994,ripd,33618855.0,130000000.0,action,2013-07-19,8.0,8
996,seven pounds,69951824.0,54000000.0,drama,2008-12-19,8.0,8
998,sleepers,53300852.0,44000000.0,drama,1996-10-18,8.0,8
999,slow burn,1237615.0,15500000.0,thriller/suspense,2007-04-13,8.0,7 and a fly
1000,splice,17010170.0,30000000.0,horror,2010-06-04,8.0,"3 people, 1 Ginger, 1 Fred, 1 rabbit, 1 cat and 1 Dren"
1001,the beach,39778599.0,50000000.0,drama,2000-02-11,8.0,8
1002,the box,15051977.0,25000000.0,thriller/suspense,2009-11-06,8.0,8
1005,the counselor,16973715.0,25000000.0,thriller/suspense,2013-10-25,8.0,8
1010,the order,7659747.0,35000000.0,thriller/suspense,2003-09-05,8.0,8
1011,the texas chainsaw massacre,26572439.0,140000.0,horror,1974-10-18,8.0,8
1012,the texas chainsaw massacre 2,8025872.0,4700000.0,horror,1986-08-22,8.0,8
1013,the woman in black,54333290.0,15000000.0,thriller/suspense,2012-02-03,8.0,8
1016,twelve monkeys,57097229.0,29000000.0,drama,1995-12-27,8.0,7 and a spider
1018,undercover brother,38230435.0,25000000.0,comedy,2002-05-31,8.0,8
1019,vampires suck,36661504.0,20000000.0,comedy,2010-08-18,8.0,7 and a cat
1023,wrong turn,15417771.0,10000000.0,horror,2003-05-30,8.0,8
1024,a nightmare on elm street 4: the dream master,49369899.0,13000000.0,horror,1988-08-19,7.0,6 and a bug
1025,artificial intelligence: ai,78616689.0,90000000.0,drama,2001-06-29,7.0,6 Robots and 1 human recreated by robots
1032,black christmas,16235738.0,9000000.0,horror,2006-12-25,7.0,7
1034,blood work,26199517.0,50000000.0,thriller/suspense,2002-08-09,7.0,7
1036,case 39,13261851.0,27000000.0,horror,2010-10-01,7.0,6 and a demon child
1041,devil,33601190.0,10000000.0,horror,2010-09-17,7.0,7
1043,dirty work,9975684.0,13000000.0,comedy,1998-06-12,7.0,7
1044,drop dead gorgeous,10571408.0,10000000.0,comedy,1999-07-23,7.0,"5, plus a trailer exploded and one girl lost her hearing"
1047,fargo,24547547.0,7000000.0,thriller/suspense,1996-03-08,7.0,7
1055,hellraiser,13323420.0,1000000.0,horror,1987-09-18,7.0,6 and 1 rat
1059,into the storm,47602194.0,50000000.0,thriller/suspense,2014-08-08,7.0,7
1060,iron man 2,312128345.0,170000000.0,adventure,2010-05-07,7.0,7
1061,joe dirt,27087695.0,16000000.0,comedy,2001-04-11,7.0,"4, a dog, a duck and a fly"
1063,leaves of grass,70066.0,9000000.0,black comedy,2010-04-02,7.0,6 and a catfish
1069,paranormal activity: the marked ones,32462372.0,5000000.0,horror,2014-01-03,7.0,7
1076,prom night,43869350.0,18000000.0,horror,2008-04-11,7.0,7
1077,pulp fiction,107886108.0,8000000.0,drama,1994-10-14,7.0,"7, plus Sam Jackson racked up 27 motherfuckers and 1 motherfucker accessory"
1078,pulse,20264436.0,20500000.0,horror,2006-08-11,7.0,6 and a plane
1082,sanctum,23209310.0,30000000.0,adventure,2011-02-04,7.0,7
1083,saw,55968727.0,1200000.0,horror,2004-10-29,7.0,6 and a foot
1084,scream,103001286.0,15000000.0,horror,1996-12-20,7.0,7
1089,the conjuring,137400141.0,20000000.0,horror,2013-07-19,7.0,1 dog and 6 birds
1091,the fugitive,172494360.0,44000000.0,thriller/suspense,1993-08-06,7.0,7
1092,the glass house,17951431.0,22000000.0,thriller/suspense,2001-09-14,7.0,7
1093,the green mile,136801374.0,60000000.0,drama,1999-12-10,7.0,7
1096,the man with the golden gun,21000000.0,7000000.0,action,1974-12-20,7.0,7 and 2 bitches banged
1098,the mask,119874149.0,18000000.0,comedy,1994-07-29,7.0,7
1103,the wolf of wall street,116900694.0,100000000.0,black comedy,2013-12-25,7.0,"5 people, a fish and a seagull"
1105,traffic,124107476.0,48000000.0,drama,2000-12-27,7.0,7
1109,the unborn,42670410.0,16000000.0,horror,2009-01-09,7.0,7
1112,a nightmare on elm street 3: dream warriors,44793222.0,5000000.0,horror,1987-02-27,6.0,6
1117,armored,15988876.0,20000000.0,thriller/suspense,2009-12-04,6.0,6
1118,austin powers: the spy who shagged me,205957794.0,35000000.0,comedy,1999-06-10,6.0,5 and a fembot
1121,batman begins,205343774.0,150000000.0,action,2005-06-15,6.0,6
1122,batman returns,162833635.0,80000000.0,action,1992-06-18,6.0,5 and a cat
1125,bless the child,29374178.0,40000000.0,thriller/suspense,2000-08-11,6.0,6
1130,capote,28750530.0,7000000.0,drama,2005-09-30,6.0,6
1131,chernobyl diaries,18119640.0,1000000.0,horror,2012-05-25,6.0,6
1134,cube,489220.0,250000.0,thriller/suspense,1998-09-11,6.0,6
1140,disturbia,80106701.0,20000000.0,thriller/suspense,2007-04-13,6.0,"4, 1 deer and 1 rabbit"
1141,donnie brasco,41954997.0,35000000.0,drama,1997-02-28,6.0,6
1142,dont say a word,54997476.0,50000000.0,thriller/suspense,2001-09-28,6.0,6
1146,the fantastic mr fox,21002919.0,40000000.0,adventure,2009-11-13,6.0,"2 squabs, 3 chickens, 1 rat"
1148,flight,93772375.0,31000000.0,drama,2012-11-02,6.0,6
1151,frozen,400738009.0,150000000.0,adventure,2013-11-22,6.0,1 ship
1156,high tension,3681066.0,2850000.0,horror,2005-06-10,6.0,5 and a dog
1158,i spit on your grave,93051.0,1750000.0,horror,2010-10-08,6.0,6
1160,insurgent,130179072.0,110000000.0,action,2015-03-20,6.0,6
1161,interstellar,188017894.0,165000000.0,adventure,2014-11-05,6.0,6
